region	n	trait	results	abbreviation	category	color
region_chr19_18299052_19766662	40	UKB_23099_Body_fat_percentage	gwas	FAT_UKB	Anthropometric	#404040
region_chr1_182786221_184626379	1	UKB_20002_1461_self_reported_inflammatory_bowel_disease	gwas	IBD_UKBS	Immune	#40A0A0
region_chr1_235656136_237392328	54	Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	gwas	NEC	Blood	#C00000
region_chr20_55438728_57872903	59	GIANT_HEIGHT	gwas	HEIGHT	Anthropometric	#404040
region_chr3_56399879_58171792	464	GIANT_HEIGHT	gwas	HEIGHT	Anthropometric	#404040
region_chr7_46947122_49172682	3	Astle_et_al_2016_High_light_scatter_reticulocyte_count	gwas	HRET	Blood	#C00000
region_chr7_91032469_92864438	30	Astle_et_al_2016_Eosinophil_counts	gwas	EC	Blood	#C00000
region_chr7_96444196_97470258	73	UKB_2395_2_Hair_or_balding_pattern_Pattern_2	gwas	BLDP2_UKB	Hair morphology	#808000
region_chr8_129368893_130627379	2	UKB_2395_4_Hair_or_balding_pattern_Pattern_4	gwas	BLDP4_UKB	Hair morphology	#808000
region_chr9_132423455_134176000	67	Astle_et_al_2016_High_light_scatter_reticulocyte_count	gwas	HRET	Blood	#C00000
region_chr12_89288345_91672378	20	UKB_21001_Body_mass_index_BMI	gwas	BMI_UKB	Anthropometric	#404040
region_chr14_67525600_70665240	1	UKB_2395_4_Hair_or_balding_pattern_Pattern_4	gwas	BLDP4_UKB	Hair morphology	#808000
region_chr17_47798656_49440038	91	Astle_et_al_2016_Eosinophil_counts	gwas	EC	Blood	#C00000
region_chr1_76262450_79195513	1	Astle_et_al_2016_Sum_basophil_neutrophil_counts	gwas	BNC	Blood	#C00000
region_chr6_28949831_29770194	925	Astle_et_al_2016_Eosinophil_counts	gwas	EC	Blood	#C00000
region_chr15_40091931_40885316	2	UKB_50_Standing_height	gwas	HEIGHT_UKB	Anthropometric	#404040
region_chr3_122255250_123798921	17	Astle_et_al_2016_Lymphocyte_counts	gwas	LC	Blood	#C00000
region_chr5_109298233_111485446	474	UKB_20002_1111_self_reported_asthma	gwas	ATH_UKBS	Allergy	#FFFF00
region_chr6_108143176_109983044	289	UKB_20022_Birth_weight	gwas	BW_UKB	Anthropometric	#404040
region_chr6_133923105_135903039	109	Astle_et_al_2016_Monocyte_count	gwas	MC	Blood	#C00000
region_chr12_44631_971165	1	Astle_et_al_2016_Lymphocyte_counts	gwas	LC	Blood	#C00000
region_chr14_21121243_22549721	19	GIANT_HEIGHT	gwas	HEIGHT	Anthropometric	#404040
region_chr19_52482037_54099074	60	Astle_et_al_2016_Monocyte_count	gwas	MC	Blood	#C00000
region_chr1_22760390_23594100	200	GIANT_HEIGHT	gwas	HEIGHT	Anthropometric	#404040
region_chr2_58070180_60064865	13	Astle_et_al_2016_Red_blood_cell_count	gwas	RBC	Blood	#C00000
region_chr11_64037097_66131160	222	Astle_et_al_2016_Platelet_count	gwas	PLT	Blood	#C00000
region_chr11_92343978_93542991	92	MAGIC_FastingGlucose	gwas	FG	Cardiometabolic	#004000
region_chr16_53348660_55869862	9	UKB_20016_Fluid_intelligence_score	gwas	FIS_UKB	Psychiatric-neurologic	#0000A0
region_chr5_137040361_139885487	2	UKB_23099_Body_fat_percentage	gwas	FAT_UKB	Anthropometric	#404040
region_chr5_94474279_96627815	53	UKB_50_Standing_height	gwas	HEIGHT_UKB	Anthropometric	#404040
region_chr6_157797687_160159465	21	Astle_et_al_2016_Sum_basophil_neutrophil_counts	gwas	BNC	Blood	#C00000
region_chr8_7295557_9297184	6	UKB_1180_Morning_or_evening_person_chronotype	gwas	CHRONO_UKB	Psychiatric-neurologic	#0000A0
region_chr11_117876395_119344766	1	UKB_20002_1111_self_reported_asthma	gwas	ATH_UKBS	Allergy	#FFFF00
region_chr11_59013076_62456299	4	UKB_6152_9_diagnosed_by_doctor_Hayfever_allergic_rhinitis_or_eczema	gwas	HAY_UKB	Immune	#40A0A0
region_chr11_94509094_95992877	4	UKB_20002_1226_self_reported_hypothyroidism_or_myxoedema	gwas	HYPOTHY_UKBS	Endocrine system	#FF8000
region_chr12_17934939_20711009	111	GIANT_HEIGHT	gwas	HEIGHT	Anthropometric	#404040
region_chr12_27646840_29498322	1110	UKB_50_Standing_height	gwas	HEIGHT_UKB	Anthropometric	#404040
region_chr17_44979537_47798656	4	UKB_20002_1111_self_reported_asthma	gwas	ATH_UKBS	Allergy	#FFFF00
region_chr17_57280180_59410151	370	Astle_et_al_2016_Monocyte_count	gwas	MC	Blood	#C00000
region_chr3_70399877_72480178	10	Astle_et_al_2016_High_light_scatter_reticulocyte_count	gwas	HRET	Blood	#C00000
region_chr4_71274841_73726673	11	Astle_et_al_2016_White_blood_cell_count	gwas	WBC	Blood	#C00000
region_chr12_117697570_119316305	1	SSGAC_Depressive_Symptoms	gwas	DEPR	Psychiatric-neurologic	#0000A0
region_chr12_55272053_57155077	48	UKB_20002_1226_self_reported_hypothyroidism_or_myxoedema	gwas	HYPOTHY_UKBS	Endocrine system	#FF8000
region_chr15_60973637_62923023	19	pgc.scz2	gwas	SCZ	Psychiatric-neurologic	#0000A0
region_chr17_36141651_38653091	2	Astle_et_al_2016_Neutrophil_count	gwas	NC	Blood	#C00000
region_chr1_241908300_243946197	44	SSGAC_Education_Years_Pooled	gwas	EDU	Psychiatric-neurologic	#0000A0
region_chr2_43082452_44086664	21	MAGNETIC_IDL.TG	gwas	IDL	Cardiometabolic	#004000
region_chr7_44724229_45913323	163	Astle_et_al_2016_Lymphocyte_counts	gwas	LC	Blood	#C00000
region_chr8_6285276_7295557	74	Astle_et_al_2016_Monocyte_count	gwas	MC	Blood	#C00000
region_chr10_51856869_53343812	1	UKB_2395_4_Hair_or_balding_pattern_Pattern_4	gwas	BLDP4_UKB	Hair morphology	#808000
region_chr10_91575290_93636611	45	Astle_et_al_2016_Eosinophil_counts	gwas	EC	Blood	#C00000
region_chr12_119316305_121569746	5	Astle_et_al_2016_Eosinophil_counts	gwas	EC	Blood	#C00000
region_chr18_59963251_61353518	254	UKB_50_Standing_height	gwas	HEIGHT_UKB	Anthropometric	#404040
region_chr1_10746927_11717784	196	UKB_50_Standing_height	gwas	HEIGHT_UKB	Anthropometric	#404040
region_chr1_208237019_210614406	38	UKB_23099_Body_fat_percentage	gwas	FAT_UKB	Anthropometric	#404040
region_chr1_71218722_73861224	188	pgc.scz2	gwas	SCZ	Psychiatric-neurologic	#0000A0
region_chr20_36332043_38281128	109	GIANT_HEIGHT	gwas	HEIGHT	Anthropometric	#404040
region_chr2_44086664_46255495	560	UKB_50_Standing_height	gwas	HEIGHT_UKB	Anthropometric	#404040
region_chr5_13464722_14757695	2	UKB_6152_8_diagnosed_by_doctor_Asthma	gwas	ATH_UKB	Immune	#40A0A0
region_chr5_173251324_174215868	62	Astle_et_al_2016_Granulocyte_count	gwas	GC	Blood	#C00000
region_chr6_53414304_55603472	15	UKB_20022_Birth_weight	gwas	BW_UKB	Anthropometric	#404040
region_chr9_104819468_106536473	168	GIANT_HEIGHT	gwas	HEIGHT	Anthropometric	#404040
region_chr9_98830577_101862155	2	UKB_6152_8_diagnosed_by_doctor_Asthma	gwas	ATH_UKB	Immune	#40A0A0
region_chr10_98908643_101189482	1	UKB_23099_Body_fat_percentage	gwas	FAT_UKB	Anthropometric	#404040
region_chr8_83313354_85043384	10	UKB_21001_Body_mass_index_BMI	gwas	BMI_UKB	Anthropometric	#404040
region_chr9_4884926_6557589	98	IBD.EUR.Crohns_Disease	gwas	CD	Immune	#40A0A0
region_chr11_59013076_62456299	7	Astle_et_al_2016_Reticulocyte_count	gwas	RET	Blood	#C00000
region_chr19_45599439_46646825	92	Astle_et_al_2016_Eosinophil_counts	gwas	EC	Blood	#C00000
region_chr1_7187275_9305140	122	Astle_et_al_2016_Lymphocyte_counts	gwas	LC	Blood	#C00000
region_chr6_30830391_31603441	3025	Astle_et_al_2016_Granulocyte_count	gwas	GC	Blood	#C00000
region_chr7_31097675_33516156	9	UKB_50_Standing_height	gwas	HEIGHT_UKB	Anthropometric	#404040
region_chr11_116512631_117876395	1	Astle_et_al_2016_High_light_scatter_reticulocyte_count	gwas	HRET	Blood	#C00000
region_chr15_62923023_64812469	125	Astle_et_al_2016_Reticulocyte_count	gwas	RET	Blood	#C00000
region_chr17_63468228_65152010	13	UKB_20002_1065_self_reported_hypertension	gwas	HPT_UKBS	Cardiometabolic	#004000
region_chr1_10583_1961168	26	UKB_23099_Body_fat_percentage	gwas	FAT_UKB	Anthropometric	#404040
region_chr1_112730684_114331223	3	UKB_20002_1225_self_reported_hyperthyroidism_or_thyrotoxicosis	gwas	HYPERTHY_UKBS	Endocrine system	#FF8000
region_chr1_156366342_158057622	2	UKB_21001_Body_mass_index_BMI	gwas	BMI_UKB	Anthropometric	#404040
region_chr1_247181216_248945267	368	Astle_et_al_2016_Reticulocyte_count	gwas	RET	Blood	#C00000
region_chr8_118673218_120189461	1	Astle_et_al_2016_Sum_eosinophil_basophil_counts	gwas	EBC	Blood	#C00000
region_chr13_26710225_28683414	2	IBD.EUR.Ulcerative_Colitis	gwas	UC	Immune	#40A0A0
region_chr15_40885316_42484201	97	UKB_6152_9_diagnosed_by_doctor_Hayfever_allergic_rhinitis_or_eczema	gwas	HAY_UKB	Immune	#40A0A0
region_chr1_169117086_170588635	38	UKB_6152_7_diagnosed_by_doctor_Blood_clot_in_the_lung	gwas	PE_UKB	Cardiometabolic	#004000
region_chr4_119471529_121736832	22	Astle_et_al_2016_Platelet_count	gwas	PLT	Blood	#C00000
region_chr4_142522112_145257035	15	UKB_21001_Body_mass_index_BMI	gwas	BMI_UKB	Anthropometric	#404040
region_chr6_28949831_29770194	11	UKB_20002_1313_self_reported_ankylosing_spondylitis	gwas	ASP_UKBS	Immune	#40A0A0
region_chr7_103557063_104519078	21	UKB_21001_Body_mass_index_BMI	gwas	BMI_UKB	Anthropometric	#404040
region_chr7_2022763_2732593	26	UKB_20002_1065_self_reported_hypertension	gwas	HPT_UKBS	Cardiometabolic	#004000
region_chr10_102620653_104935290	1	Astle_et_al_2016_White_blood_cell_count	gwas	WBC	Blood	#C00000
region_chr12_91672378_94120791	365	UKB_50_Standing_height	gwas	HEIGHT_UKB	Anthropometric	#404040
region_chr11_112588765_114387006	14	Astle_et_al_2016_White_blood_cell_count	gwas	WBC	Blood	#C00000
region_chr13_26710225_28683414	45	Astle_et_al_2016_Sum_basophil_neutrophil_counts	gwas	BNC	Blood	#C00000
region_chr16_48974015_52001911	218	IBD.EUR.Crohns_Disease	gwas	CD	Immune	#40A0A0
region_chr20_34225635_36332043	9	UKB_20002_1094_self_reported_deep_venous_thrombosis_dvt	gwas	DVT_UKBS	Cardiometabolic	#004000
region_chr2_177688455_180448012	117	UKB_50_Standing_height	gwas	HEIGHT_UKB	Anthropometric	#404040
region_chr3_185350467_187172556	49	GIANT_HEIGHT	gwas	HEIGHT	Anthropometric	#404040
region_chr6_47344162_48423389	95	Astle_et_al_2016_Platelet_count	gwas	PLT	Blood	#C00000
region_chr7_38927103_39823071	12	UKB_21001_Body_mass_index_BMI	gwas	BMI_UKB	Anthropometric	#404040
region_chr9_74358165_76285267	43	UKB_50_Standing_height	gwas	HEIGHT_UKB	Anthropometric	#404040
region_chr18_11905441_14440800	90	IBD.EUR.Crohns_Disease	gwas	CD	Immune	#40A0A0
region_chr1_29689034_31973084	16	UKB_23099_Body_fat_percentage	gwas	FAT_UKB	Anthropometric	#404040
region_chr1_76262450_79195513	33	GIANT_HEIGHT	gwas	HEIGHT	Anthropometric	#404040
region_chr2_211514793_213149558	243	Astle_et_al_2016_Eosinophil_counts	gwas	EC	Blood	#C00000
region_chr3_47685722_49279539	664	Astle_et_al_2016_High_light_scatter_reticulocyte_count	gwas	HRET	Blood	#C00000
region_chr1_206268085_208237019	15	Astle_et_al_2016_Myeloid_white_cell_count	gwas	MWBC	Blood	#C00000
region_chr22_44599428_46074615	5	UKB_20022_Birth_weight	gwas	BW_UKB	Anthropometric	#404040
region_chr2_141761033_143761915	61	Astle_et_al_2016_Lymphocyte_counts	gwas	LC	Blood	#C00000
region_chr2_221656456_223994702	454	UKB_2395_2_Hair_or_balding_pattern_Pattern_2	gwas	BLDP2_UKB	Hair morphology	#808000
region_chr2_30240845_31327584	6	UKB_2395_4_Hair_or_balding_pattern_Pattern_4	gwas	BLDP4_UKB	Hair morphology	#808000
region_chr2_60064865_62201909	7	Astle_et_al_2016_Sum_eosinophil_basophil_counts	gwas	EBC	Blood	#C00000
region_chr4_37253425_38905401	179	UKB_20002_1111_self_reported_asthma	gwas	ATH_UKBS	Allergy	#FFFF00
region_chr6_26791023_28050041	545	Astle_et_al_2016_White_blood_cell_count	gwas	WBC	Blood	#C00000
region_chr6_35487979_37604820	7	UKB_21001_Body_mass_index_BMI	gwas	BMI_UKB	Anthropometric	#404040
region_chr15_62923023_64812469	22	Astle_et_al_2016_Neutrophil_count	gwas	NC	Blood	#C00000
region_chr1_229020501_230549509	6	Astle_et_al_2016_Platelet_count	gwas	PLT	Blood	#C00000
region_chr1_44503511_46433829	47	Astle_et_al_2016_Sum_basophil_neutrophil_counts	gwas	BNC	Blood	#C00000
region_chr2_201953914_204934518	13	GIANT_HEIGHT	gwas	HEIGHT	Anthropometric	#404040
region_chr6_103535520_105608858	43	UKB_21001_Body_mass_index_BMI	gwas	BMI_UKB	Anthropometric	#404040
region_chr10_44234627_46978910	7	Astle_et_al_2016_White_blood_cell_count	gwas	WBC	Blood	#C00000
region_chr1_87662948_89600744	5	UKB_20002_1065_self_reported_hypertension	gwas	HPT_UKBS	Cardiometabolic	#004000
region_chr20_55438728_57872903	9	UKB_50_Standing_height	gwas	HEIGHT_UKB	Anthropometric	#404040
region_chr3_135738064_137652241	455	UKB_21001_Body_mass_index_BMI	gwas	BMI_UKB	Anthropometric	#404040
region_chr22_49430885_50804870	32	Astle_et_al_2016_Monocyte_count	gwas	MC	Blood	#C00000
region_chr3_141620255_143445786	310	Astle_et_al_2016_Red_blood_cell_count	gwas	RBC	Blood	#C00000
region_chr6_31603441_32714887	5482	Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	gwas	NEC	Blood	#C00000
region_chr10_29494763_30169909	13	CARDIoGRAM_C4D_CAD_ADDITIVE	gwas	CAD	Cardiometabolic	#004000
region_chr10_53343812_55271380	1	UKB_1180_Morning_or_evening_person_chronotype	gwas	CHRONO_UKB	Psychiatric-neurologic	#0000A0
region_chr12_119316305_121569746	187	UKB_50_Standing_height	gwas	HEIGHT_UKB	Anthropometric	#404040
region_chr16_29025292_31371622	372	UKB_21001_Body_mass_index_BMI	gwas	BMI_UKB	Anthropometric	#404040
region_chr22_37174229_38911889	1	GIANT_HEIGHT	gwas	HEIGHT	Anthropometric	#404040
region_chr2_217530757_219589829	154	Astle_et_al_2016_Myeloid_white_cell_count	gwas	MWBC	Blood	#C00000
region_chr4_17381699_18840251	136	UKB_21001_Body_mass_index_BMI	gwas	BMI_UKB	Anthropometric	#404040
region_chr4_37253425_38905401	183	UKB_6152_8_diagnosed_by_doctor_Asthma	gwas	ATH_UKB	Immune	#40A0A0
region_chr5_149283061_151181737	201	IBD.EUR.Inflammatory_Bowel_Disease	gwas	IBD	Immune	#40A0A0
region_chr6_28050041_28949831	49	UKB_21001_Body_mass_index_BMI	gwas	BMI_UKB	Anthropometric	#404040
region_chr8_78220626_81044160	1	Astle_et_al_2016_Monocyte_count	gwas	MC	Blood	#C00000
region_chr9_98830577_101862155	2	UKB_20002_1111_self_reported_asthma	gwas	ATH_UKBS	Allergy	#FFFF00
region_chr17_5838014_7414079	1	UKB_21001_Body_mass_index_BMI	gwas	BMI_UKB	Anthropometric	#404040
region_chr20_48583442_50623121	24	UKB_23099_Body_fat_percentage	gwas	FAT_UKB	Anthropometric	#404040
region_chr5_154393528_155946495	99	Astle_et_al_2016_High_light_scatter_reticulocyte_count	gwas	HRET	Blood	#C00000
region_chr6_33268720_35487979	78	UKB_20002_1225_self_reported_hyperthyroidism_or_thyrotoxicosis	gwas	HYPERTHY_UKBS	Endocrine system	#FF8000
region_chr6_73924_1452127	10	RA_OKADA_TRANS_ETHNIC	gwas	RA	Immune	#40A0A0
region_chr7_16862445_19441924	67	UKB_2395_2_Hair_or_balding_pattern_Pattern_2	gwas	BLDP2_UKB	Hair morphology	#808000
region_chr8_115084266_118673218	13	UKB_1180_Morning_or_evening_person_chronotype	gwas	CHRONO_UKB	Psychiatric-neurologic	#0000A0
region_chr19_46646825_48778970	90	UKB_21001_Body_mass_index_BMI	gwas	BMI_UKB	Anthropometric	#404040
region_chr2_197213386_198446401	83	pgc.scz2	gwas	SCZ	Psychiatric-neurologic	#0000A0
region_chr4_17381699_18840251	203	EGG_BW3_EUR	gwas	BW	Anthropometric	#404040
region_chr4_99757203_102300199	2	UKB_20002_1065_self_reported_hypertension	gwas	HPT_UKBS	Cardiometabolic	#004000
region_chr5_147802435_149283061	34	Astle_et_al_2016_Neutrophil_count	gwas	NC	Blood	#C00000
region_chr5_41888608_43983397	412	UKB_50_Standing_height	gwas	HEIGHT_UKB	Anthropometric	#404040
region_chr6_24852047_25684359	10	UKB_20002_1225_self_reported_hyperthyroidism_or_thyrotoxicosis	gwas	HYPERTHY_UKBS	Endocrine system	#FF8000
region_chr13_89869057_92477438	35	GIANT_HEIGHT	gwas	HEIGHT	Anthropometric	#404040
region_chr16_80263477_81738931	100	UKB_20002_1065_self_reported_hypertension	gwas	HPT_UKBS	Cardiometabolic	#004000
region_chr17_74676064_76379479	3	Astle_et_al_2016_Eosinophil_counts	gwas	EC	Blood	#C00000
region_chr2_126616187_127276771	25	IGAP_Alzheimer	gwas	AD	Psychiatric-neurologic	#0000A0
region_chr5_71944629_74463501	43	Astle_et_al_2016_White_blood_cell_count	gwas	WBC	Blood	#C00000
region_chr6_19207256_21683834	1	UKB_2395_4_Hair_or_balding_pattern_Pattern_4	gwas	BLDP4_UKB	Hair morphology	#808000
region_chr6_29770194_30830391	2364	Astle_et_al_2016_Myeloid_white_cell_count	gwas	MWBC	Blood	#C00000
region_chr7_49172682_51607626	217	Astle_et_al_2016_Monocyte_count	gwas	MC	Blood	#C00000
region_chr10_102620653_104935290	319	pgc.scz2	gwas	SCZ	Psychiatric-neurologic	#0000A0
region_chr15_47843851_49715846	213	UKB_50_Standing_height	gwas	HEIGHT_UKB	Anthropometric	#404040
region_chr16_20139249_22437583	31	UKB_21001_Body_mass_index_BMI	gwas	BMI_UKB	Anthropometric	#404040
region_chr17_59410151_61235394	106	Astle_et_al_2016_Granulocyte_count	gwas	GC	Blood	#C00000
region_chr17_61235394_63468228	221	UKB_50_Standing_height	gwas	HEIGHT_UKB	Anthropometric	#404040
region_chr18_54027805_57546606	69	UKB_20127_Neuroticism_score	gwas	NEUROT_UKB	Psychiatric-neurologic	#0000A0
region_chr1_53760589_55947444	116	Astle_et_al_2016_High_light_scatter_reticulocyte_count	gwas	HRET	Blood	#C00000
region_chr5_62377168_63923160	32	UKB_23099_Body_fat_percentage	gwas	FAT_UKB	Anthropometric	#404040
region_chr8_100608730_103111078	38	Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	gwas	NEC	Blood	#C00000
region_chr8_129368893_130627379	91	Astle_et_al_2016_Granulocyte_count	gwas	GC	Blood	#C00000
region_chr9_136605890_138254346	8	Jones_et_al_2016_Chronotype	gwas	CHRONO	Psychiatric-neurologic	#0000A0
region_chr14_81113370_82671753	1	Astle_et_al_2016_Platelet_count	gwas	PLT	Blood	#C00000
region_chr1_151566405_153208353	64	UKB_6152_9_diagnosed_by_doctor_Hayfever_allergic_rhinitis_or_eczema	gwas	HAY_UKB	Immune	#40A0A0
region_chr2_109814855_113164279	88	Astle_et_al_2016_Lymphocyte_counts	gwas	LC	Blood	#C00000
region_chr3_128476018_130525891	179	Astle_et_al_2016_Neutrophil_count	gwas	NC	Blood	#C00000
region_chr8_125398675_127646866	20	Astle_et_al_2016_Neutrophil_count	gwas	NC	Blood	#C00000
region_chr8_23039544_24817205	466	UKB_50_Standing_height	gwas	HEIGHT_UKB	Anthropometric	#404040
region_chr9_119498019_122109043	122	UKB_6152_9_diagnosed_by_doctor_Hayfever_allergic_rhinitis_or_eczema	gwas	HAY_UKB	Immune	#40A0A0
region_chr19_16263605_18299052	55	UKB_50_Standing_height	gwas	HEIGHT_UKB	Anthropometric	#404040
region_chr1_51248054_53760589	3	UKB_2395_3_Hair_or_balding_pattern_Pattern_3	gwas	BLDP3_UKB	Hair morphology	#808000
region_chr4_73726673_76209554	193	Astle_et_al_2016_Sum_basophil_neutrophil_counts	gwas	BNC	Blood	#C00000
region_chr5_141266403_143601683	2	GIANT_HEIGHT	gwas	HEIGHT	Anthropometric	#404040
region_chr9_20463536_22206560	9	UKB_50_Standing_height	gwas	HEIGHT_UKB	Anthropometric	#404040
region_chr16_13060580_14370145	82	UKB_50_Standing_height	gwas	HEIGHT_UKB	Anthropometric	#404040
region_chr1_41509656_43292786	72	UKB_50_Standing_height	gwas	HEIGHT_UKB	Anthropometric	#404040
region_chr4_54563389_55681477	9	Astle_et_al_2016_White_blood_cell_count	gwas	WBC	Blood	#C00000
region_chr7_129138332_130737653	10	UKB_20002_1065_self_reported_hypertension	gwas	HPT_UKBS	Cardiometabolic	#004000
region_chr7_33516156_36173929	1	EGG_BW3_EUR	gwas	BW	Anthropometric	#404040
region_chr11_46984586_49844498	3	MAGIC_FastingGlucose	gwas	FG	Cardiometabolic	#004000
region_chr12_119316305_121569746	87	Astle_et_al_2016_Red_blood_cell_count	gwas	RBC	Blood	#C00000
region_chr16_53348660_55869862	213	UKB_21001_Body_mass_index_BMI	gwas	BMI_UKB	Anthropometric	#404040
region_chr4_104384137_106580148	6	Astle_et_al_2016_Neutrophil_count	gwas	NC	Blood	#C00000
region_chr8_125398675_127646866	50	Astle_et_al_2016_Red_blood_cell_count	gwas	RBC	Blood	#C00000
region_chr8_58815541_61416540	160	Astle_et_al_2016_Sum_eosinophil_basophil_counts	gwas	EBC	Blood	#C00000
region_chr9_115159681_118559259	222	GIANT_HEIGHT	gwas	HEIGHT	Anthropometric	#404040
region_chr15_89932319_91621162	30	Astle_et_al_2016_Sum_eosinophil_basophil_counts	gwas	EBC	Blood	#C00000
region_chr3_45123661_46616010	768	Astle_et_al_2016_Monocyte_count	gwas	MC	Blood	#C00000
region_chr5_141266403_143601683	132	Astle_et_al_2016_Neutrophil_count	gwas	NC	Blood	#C00000
region_chr6_28949831_29770194	103	UKB_20016_Fluid_intelligence_score	gwas	FIS_UKB	Psychiatric-neurologic	#0000A0
region_chr8_62436747_64320315	23	UKB_21001_Body_mass_index_BMI	gwas	BMI_UKB	Anthropometric	#404040
region_chr9_115159681_118559259	12	UKB_20002_1265_self_reported_migraine	gwas	MIGR_UKBS	Psychiatric-neurologic	#0000A0
region_chr10_34820427_36283580	231	IBD.EUR.Crohns_Disease	gwas	CD	Immune	#40A0A0
region_chr12_102571208_104454918	158	UKB_50_Standing_height	gwas	HEIGHT_UKB	Anthropometric	#404040
region_chr19_9127717_11173352	5	RA_OKADA_TRANS_ETHNIC	gwas	RA	Immune	#40A0A0
region_chr1_159943258_162376931	40	Astle_et_al_2016_Lymphocyte_counts	gwas	LC	Blood	#C00000
region_chr1_235656136_237392328	1	UKB_20002_1226_self_reported_hypothyroidism_or_myxoedema	gwas	HYPOTHY_UKBS	Endocrine system	#FF8000
region_chr1_34334157_37083582	59	Astle_et_al_2016_White_blood_cell_count	gwas	WBC	Blood	#C00000
region_chr3_10977979_13029299	54	UKB_20002_1065_self_reported_hypertension	gwas	HPT_UKBS	Cardiometabolic	#004000
region_chr6_35487979_37604820	33	Astle_et_al_2016_Platelet_count	gwas	PLT	Blood	#C00000
region_chr9_104819468_106536473	318	UKB_50_Standing_height	gwas	HEIGHT_UKB	Anthropometric	#404040
region_chr9_122109043_124209608	1	UKB_50_Standing_height	gwas	HEIGHT_UKB	Anthropometric	#404040
region_chr10_43399323_44234627	230	CARDIoGRAM_C4D_CAD_ADDITIVE	gwas	CAD	Cardiometabolic	#004000
region_chr11_64037097_66131160	55	UKB_6152_9_diagnosed_by_doctor_Hayfever_allergic_rhinitis_or_eczema	gwas	HAY_UKB	Immune	#40A0A0
region_chr17_41743558_43694719	26	UKB_50_Standing_height	gwas	HEIGHT_UKB	Anthropometric	#404040
region_chr2_158720570_160913222	1	UKB_50_Standing_height	gwas	HEIGHT_UKB	Anthropometric	#404040
region_chr9_136047132_136605890	169	Astle_et_al_2016_Granulocyte_count	gwas	GC	Blood	#C00000
region_chr11_121305234_122721202	50	Astle_et_al_2016_White_blood_cell_count	gwas	WBC	Blood	#C00000
region_chr11_89475768_91233322	1	UKB_21001_Body_mass_index_BMI	gwas	BMI_UKB	Anthropometric	#404040
region_chr13_85036781_87907627	6	UKB_23099_Body_fat_percentage	gwas	FAT_UKB	Anthropometric	#404040
region_chr1_18336405_20142656	6	GIANT_HEIGHT	gwas	HEIGHT	Anthropometric	#404040
region_chr21_33853161_35152076	1	UKB_2395_3_Hair_or_balding_pattern_Pattern_3	gwas	BLDP3_UKB	Hair morphology	#808000
region_chr22_19924835_22002927	116	Astle_et_al_2016_Lymphocyte_counts	gwas	LC	Blood	#C00000
region_chr3_130525891_132117672	306	UKB_21001_Body_mass_index_BMI	gwas	BMI_UKB	Anthropometric	#404040
region_chr4_102300199_104384137	1	Astle_et_al_2016_Eosinophil_counts	gwas	EC	Blood	#C00000
region_chr6_32714887_33268720	833	UKB_50_Standing_height	gwas	HEIGHT_UKB	Anthropometric	#404040
region_chr9_136047132_136605890	15	UKB_20022_Birth_weight	gwas	BW_UKB	Anthropometric	#404040
region_chr10_4530082_5941799	2	UKB_6152_9_diagnosed_by_doctor_Hayfever_allergic_rhinitis_or_eczema	gwas	HAY_UKB	Immune	#40A0A0
region_chr16_14370145_16060203	4	MAGNETIC_CH2.DB.ratio	gwas	CH2	Cardiometabolic	#004000
region_chr16_29025292_31371622	170	IMMUNOBASE_Systemic_lupus_erythematosus_hg19	gwas	SLE	Immune	#40A0A0
region_chr2_40054343_43082452	3	UKB_21001_Body_mass_index_BMI	gwas	BMI_UKB	Anthropometric	#404040
region_chr3_154996429_156290911	1	UKB_50_Standing_height	gwas	HEIGHT_UKB	Anthropometric	#404040
region_chr3_9501499_10977979	1	GIANT_HEIGHT	gwas	HEIGHT	Anthropometric	#404040
region_chr5_52838788_54407214	152	Astle_et_al_2016_Reticulocyte_count	gwas	RET	Blood	#C00000
region_chr7_106042459_108139733	146	IBD.EUR.Inflammatory_Bowel_Disease	gwas	IBD	Immune	#40A0A0
region_chr12_51382710_52645220	4	UKB_2395_4_Hair_or_balding_pattern_Pattern_4	gwas	BLDP4_UKB	Hair morphology	#808000
region_chr21_40017600_41901419	7	UKB_21001_Body_mass_index_BMI	gwas	BMI_UKB	Anthropometric	#404040
region_chr22_29255810_31043932	17	Astle_et_al_2016_High_light_scatter_reticulocyte_count	gwas	HRET	Blood	#C00000
region_chr22_40149793_42294812	140	UKB_1180_Morning_or_evening_person_chronotype	gwas	CHRONO_UKB	Psychiatric-neurologic	#0000A0
region_chr2_170369735_172274177	8	UKB_2395_4_Hair_or_balding_pattern_Pattern_4	gwas	BLDP4_UKB	Hair morphology	#808000
region_chr8_9297184_9783277	70	UKB_20002_1065_self_reported_hypertension	gwas	HPT_UKBS	Cardiometabolic	#004000
region_chr16_85115079_86122993	31	Astle_et_al_2016_Platelet_count	gwas	PLT	Blood	#C00000
region_chr19_44239955_45599439	182	MAGNETIC_LDL.C	gwas	LDLC	Cardiometabolic	#004000
region_chr3_107263964_109803548	3	UKB_21001_Body_mass_index_BMI	gwas	BMI_UKB	Anthropometric	#404040
