region	phenotype	count	best_rcp
region_chr7_28320690_31097675	Astle_et_al_2016_High_light_scatter_reticulocyte_count	93	0.839
region_chr8_21804225_23039544	UKB_23099_Body_fat_percentage	2	0.823
region_chr9_114257521_115159681	UKB_20002_1111_self_reported_asthma	1	0.512
region_chr9_127293231_129403191	Astle_et_al_2016_Myeloid_white_cell_count	1	0.72
region_chr9_136047132_136605890	Astle_et_al_2016_Sum_basophil_neutrophil_counts	1	0.571
region_chr9_82825886_84323281	Astle_et_al_2016_White_blood_cell_count	1	0.507
region_chr10_102620653_104935290	Astle_et_al_2016_White_blood_cell_count	11	0.961
region_chr10_87367307_89253624	CARDIoGRAM_C4D_CAD_ADDITIVE	37	0.87
region_chr11_26998914_28460046	GIANT_HIP_Combined_EUR	22	0.882
region_chr11_59013076_62456299	Astle_et_al_2016_Reticulocyte_count	26	0.673
region_chr11_74701306_77086163	Astle_et_al_2016_Neutrophil_count	1	0.516
region_chr12_109898914_112825713	Astle_et_al_2016_Lymphocyte_counts	4	0.772
region_chr12_30359473_32012658	Astle_et_al_2016_Sum_eosinophil_basophil_counts	7	0.664
region_chr12_44631_971165	Astle_et_al_2016_Eosinophil_counts	5	0.716
region_chr13_26710225_28683414	UKB_20002_1226_self_reported_hypothyroidism_or_myxoedema	1	1
region_chr15_49715846_51385363	Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	2	0.861
region_chr15_80568637_83591716	GIANT_HEIGHT	6	0.949
region_chr16_11426305_12519241	RA_OKADA_TRANS_ETHNIC	2	0.626
region_chr16_29025292_31371622	Astle_et_al_2016_Sum_eosinophil_basophil_counts	1	0.566
region_chr16_3951195_5068344	GIANT_2017_BMI_Active_EUR	3	0.939
region_chr16_48974015_52001911	IBD.EUR.Inflammatory_Bowel_Disease	3	0.73
region_chr16_65904663_68807460	Astle_et_al_2016_Eosinophil_counts	6	0.778
region_chr17_29007226_31459473	UKB_50_Standing_height	1	0.568
region_chr17_43694719_44979537	Astle_et_al_2016_Platelet_count	22	0.828
region_chr17_7414079_8403107	Astle_et_al_2016_White_blood_cell_count	4	0.651
region_chr17_74676064_76379479	Astle_et_al_2016_Myeloid_white_cell_count	2	0.626
region_chr17_80863788_82076532	Astle_et_al_2016_Red_blood_cell_count	3	0.921
region_chr18_23069508_25416687	Astle_et_al_2016_Sum_basophil_neutrophil_counts	51	0.75
region_chr19_45599439_46646825	UKB_21001_Body_mass_index_BMI	2	0.725
region_chr19_48778970_51029311	UKB_20002_1065_self_reported_hypertension	8	0.965
region_chr19_48778970_51029311	UKB_50_Standing_height	2	0.51
region_chr19_610729_2098397	Astle_et_al_2016_Lymphocyte_counts	5	0.947
region_chr19_9127717_11173352	Astle_et_al_2016_White_blood_cell_count	20	0.864
region_chr19_9127717_11173352	UKB_6152_8_diagnosed_by_doctor_Asthma	2	0.838
region_chr1_112730684_114331223	Astle_et_al_2016_White_blood_cell_count	3	0.642
region_chr1_151566405_153208353	UKB_6152_8_diagnosed_by_doctor_Asthma	1	0.87
region_chr1_222056878_224750818	Astle_et_al_2016_Neutrophil_count	2	0.528
region_chr20_48583442_50623121	UKB_50_Standing_height	8	0.644
region_chr20_63558827_64333810	UKB_21001_Body_mass_index_BMI	1	0.713
region_chr22_23370460_24588236	Astle_et_al_2016_Sum_eosinophil_basophil_counts	7	0.876
region_chr2_101205867_102072305	Astle_et_al_2016_White_blood_cell_count	1	0.732
region_chr2_102072305_102971757	IBD.EUR.Inflammatory_Bowel_Disease	5	0.586
region_chr2_109814855_113164279	Astle_et_al_2016_Lymphocyte_counts	1	0.912
region_chr2_172274177_174724201	GIANT_HEIGHT	5	0.646
region_chr2_189017339_191108631	Astle_et_al_2016_Sum_eosinophil_basophil_counts	1	0.723
region_chr2_31327584_33138710	GIANT_HEIGHT	1	0.652
region_chr2_64398779_65706310	RA_OKADA_TRANS_ETHNIC	1	0.59
region_chr2_94660727_98378738	Astle_et_al_2016_Sum_eosinophil_basophil_counts	3	0.775
region_chr3_196244537_197349116	UKB_20002_1111_self_reported_asthma	4	0.834
region_chr3_46616010_47685722	UKB_21001_Body_mass_index_BMI	1	0.751
region_chr5_68555033_71944629	Astle_et_al_2016_Sum_basophil_neutrophil_counts	119	0.788
region_chr6_31603441_32714887	Astle_et_al_2016_High_light_scatter_reticulocyte_count	4	0.982
region_chr8_11421489_13634266	Astle_et_al_2016_Sum_basophil_neutrophil_counts	2	0.671
region_chr8_127646866_129368893	Astle_et_al_2016_White_blood_cell_count	9	0.597
region_chr8_23039544_24817205	Astle_et_al_2016_White_blood_cell_count	2	0.636
region_chr9_34642246_36743286	Astle_et_al_2016_High_light_scatter_reticulocyte_count	79	0.719
region_chr10_44234627_46978910	Astle_et_al_2016_White_blood_cell_count	6	0.913
region_chr11_10930480_12542682	Astle_et_al_2016_White_blood_cell_count	2	0.775
region_chr11_59013076_62456299	GLGC_Mc_HDL	3	0.805
region_chr11_70855_1192365	Astle_et_al_2016_Monocyte_count	1	0.951
region_chr11_72574973_74701306	UKB_50_Standing_height	17	0.599
region_chr12_54385039_55272053	UKB_6152_9_diagnosed_by_doctor_Hayfever_allergic_rhinitis_or_eczema	1	0.618
region_chr12_55272053_57155077	UKB_6152_8_diagnosed_by_doctor_Asthma	9	0.976
region_chr12_6310587_8224940	Astle_et_al_2016_Lymphocyte_counts	2	0.706
region_chr15_49715846_51385363	Astle_et_al_2016_Sum_basophil_neutrophil_counts	2	0.635
region_chr17_1269105_2025437	UKB_50_Standing_height	14	0.719
region_chr17_36141651_38653091	UKB_6152_9_diagnosed_by_doctor_Hayfever_allergic_rhinitis_or_eczema	23	0.721
region_chr17_41743558_43694719	Astle_et_al_2016_Neutrophil_count	2	0.617
region_chr17_74676064_76379479	Astle_et_al_2016_Platelet_count	1	0.746
region_chr17_78267332_79302554	Astle_et_al_2016_High_light_scatter_reticulocyte_count	10	0.797
region_chr19_3019662_4348970	UKB_50_Standing_height	2	0.682
region_chr19_33772047_35978393	GIANT_HEIGHT	7	0.764
region_chr19_4348970_5811841	Astle_et_al_2016_Sum_basophil_neutrophil_counts	3	0.515
region_chr19_4348970_5811841	UKB_20002_1226_self_reported_hypothyroidism_or_myxoedema	2	0.696
region_chr19_44239955_45599439	UKB_6152_9_diagnosed_by_doctor_Hayfever_allergic_rhinitis_or_eczema	1	0.719
region_chr19_45599439_46646825	Astle_et_al_2016_Eosinophil_counts	6	0.618
region_chr19_46646825_48778970	Astle_et_al_2016_White_blood_cell_count	33	0.897
region_chr19_51029311_52482037	Astle_et_al_2016_Sum_basophil_neutrophil_counts	1	0.521
region_chr1_182786221_184626379	IMMUNOBASE_Systemic_lupus_erythematosus_hg19	2	0.997
region_chr1_206268085_208237019	Astle_et_al_2016_Reticulocyte_count	2	0.636
region_chr1_206268085_208237019	UKB_6152_8_diagnosed_by_doctor_Asthma	1	0.606
region_chr1_22760390_23594100	Astle_et_al_2016_Reticulocyte_count	1	0.683
region_chr1_27075376_29689034	Astle_et_al_2016_Myeloid_white_cell_count	1	0.507
region_chr1_85989068_87662948	UKB_50_Standing_height	23	0.556
region_chr20_17506587_18991559	Astle_et_al_2016_Sum_eosinophil_basophil_counts	1	0.581
region_chr22_27438791_29255810	Astle_et_al_2016_White_blood_cell_count	2	0.528
region_chr3_55314832_56399879	UKB_50_Standing_height	2	0.821
region_chr3_98497106_99654918	Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	5	0.758
region_chr4_107894192_110335411	Astle_et_al_2016_Reticulocyte_count	1	0.584
region_chr4_8150508_9324753	UKB_50_Standing_height	1	0.535
region_chr5_130183332_132803957	Astle_et_al_2016_Sum_eosinophil_basophil_counts	5	0.809
region_chr5_130183332_132803957	IBD.EUR.Inflammatory_Bowel_Disease	14	0.835
region_chr5_176023592_177824506	Astle_et_al_2016_Sum_eosinophil_basophil_counts	2	0.513
region_chr5_96627815_97979897	UKB_20002_1065_self_reported_hypertension	10	0.608
region_chr6_133923105_135903039	UKB_6152_9_diagnosed_by_doctor_Hayfever_allergic_rhinitis_or_eczema	1	0.549
region_chr6_29770194_30830391	GLGC_Mc_TG	25	0.786
region_chr6_32714887_33268720	UKB_50_Standing_height	1	0.573
region_chr6_33268720_35487979	Astle_et_al_2016_Myeloid_white_cell_count	14	0.675
region_chr6_40377376_42070983	Astle_et_al_2016_Myeloid_white_cell_count	3	0.799
region_chr7_55623891_57314931	GIANT_HEIGHT	1	0.514
region_chr8_11421489_13634266	Astle_et_al_2016_High_light_scatter_reticulocyte_count	1	0.588
region_chr8_143155464_145078481	UKB_50_Standing_height	3	0.555
region_chr8_23039544_24817205	Astle_et_al_2016_Sum_basophil_neutrophil_counts	2	0.662
region_chr8_45929693_49169911	Astle_et_al_2016_Red_blood_cell_count	13	0.625
region_chr9_119498019_122109043	UKB_20022_Birth_weight	7	0.699
region_chr9_122109043_124209608	UKB_20022_Birth_weight	8	0.549
region_chr9_132423455_134176000	Astle_et_al_2016_Platelet_count	2	0.958
region_chr9_136047132_136605890	Astle_et_al_2016_Granulocyte_count	6	0.529
region_chr9_136047132_136605890	UKB_20022_Birth_weight	1	0.528
region_chr9_89827251_91404921	Astle_et_al_2016_Eosinophil_counts	3	0.634
region_chr10_122141030_124109830	GIANT_HEIGHT	1	0.511
region_chr11_46984586_49844498	UKB_20022_Birth_weight	1	0.546
region_chr11_59013076_62456299	UKB_20002_1111_self_reported_asthma	9	0.659
region_chr11_64037097_66131160	Astle_et_al_2016_Sum_eosinophil_basophil_counts	1	0.72
region_chr11_7415470_8311727	UKB_50_Standing_height	1	0.574
region_chr12_12580594_15088550	Astle_et_al_2016_Lymphocyte_counts	2	0.761
region_chr12_55272053_57155077	UKB_20002_1111_self_reported_asthma	9	0.966
region_chr13_26710225_28683414	UKB_23099_Body_fat_percentage	28	0.545
region_chr13_48809826_51016955	Astle_et_al_2016_Myeloid_white_cell_count	41	0.852
region_chr15_78223711_80568637	Astle_et_al_2016_Monocyte_count	17	0.98
region_chr16_29025292_31371622	Astle_et_al_2016_White_blood_cell_count	11	0.974
region_chr16_87613743_88974757	GIANT_HEIGHT	4	0.962
region_chr16_87613743_88974757	UKB_50_Standing_height	1	0.581
region_chr17_1269105_2025437	Astle_et_al_2016_Granulocyte_count	2	0.614
region_chr17_38653091_40721152	UKB_20002_1065_self_reported_hypertension	8	0.834
region_chr17_43694719_44979537	UKB_23099_Body_fat_percentage	17	0.835
region_chr17_47798656_49440038	EGG_BW3_EUR	6	0.749
region_chr18_62610482_64153018	UKB_20002_1111_self_reported_asthma	3	0.997
region_chr19_2098397_3019662	UKB_50_Standing_height	2	0.519
region_chr19_43358303_44239955	Astle_et_al_2016_Red_blood_cell_count	3	0.866
region_chr19_51029311_52482037	Astle_et_al_2016_Lymphocyte_counts	50	0.923
region_chr1_112730684_114331223	UKB_20002_1226_self_reported_hypothyroidism_or_myxoedema	4	0.64
region_chr1_11717784_12719464	UKB_6152_9_diagnosed_by_doctor_Hayfever_allergic_rhinitis_or_eczema	1	0.738
region_chr1_158057622_159943258	Astle_et_al_2016_Sum_eosinophil_basophil_counts	2	0.552
region_chr1_25190354_27075376	Astle_et_al_2016_Sum_basophil_neutrophil_counts	5	0.735
region_chr20_57872903_59831517	UKB_20016_Fluid_intelligence_score	1	0.792
region_chr22_42294812_43318194	Astle_et_al_2016_Monocyte_count	12	0.733
region_chr2_120546207_122545330	Astle_et_al_2016_Red_blood_cell_count	7	0.713
region_chr2_141761033_143761915	Astle_et_al_2016_Neutrophil_count	3	0.652
region_chr2_170369735_172274177	GIANT_HEIGHT	1	0.541
region_chr2_217530757_219589829	Astle_et_al_2016_Reticulocyte_count	1	0.506
region_chr2_98378738_101205867	UKB_50_Standing_height	6	0.548
region_chr3_46616010_47685722	Astle_et_al_2016_White_blood_cell_count	1	0.725
region_chr4_119471529_121736832	Astle_et_al_2016_Granulocyte_count	1	0.52
region_chr4_71274841_73726673	Astle_et_al_2016_Myeloid_white_cell_count	1	0.567
region_chr5_137040361_139885487	Astle_et_al_2016_Platelet_count	2	0.522
region_chr5_38802308_40287627	UKB_50_Standing_height	3	0.778
region_chr6_29770194_30830391	Astle_et_al_2016_Platelet_count	14	0.961
region_chr6_30830391_31603441	Astle_et_al_2016_White_blood_cell_count	3	0.987
region_chr6_31603441_32714887	GLGC_Mc_TG	6	0.556
region_chr6_40377376_42070983	Astle_et_al_2016_White_blood_cell_count	3	0.769
region_chr6_81219505_82417432	Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	1	0.525
region_chr8_143155464_145078481	UKB_20002_1111_self_reported_asthma	56	0.998
region_chr8_85043384_86399480	Astle_et_al_2016_Reticulocyte_count	1	0.573
region_chr8_9297184_9783277	Astle_et_al_2016_White_blood_cell_count	2	0.715
region_chr10_87367307_89253624	Astle_et_al_2016_Neutrophil_count	29	0.893
region_chr11_59013076_62456299	Astle_et_al_2016_Myeloid_white_cell_count	10	0.804
region_chr11_64037097_66131160	Astle_et_al_2016_White_blood_cell_count	191	0.853
region_chr11_70855_1192365	Astle_et_al_2016_Granulocyte_count	28	0.995
region_chr11_74701306_77086163	GIANT_HEIGHT	4	0.641
region_chr12_6310587_8224940	IMMUNOBASE_Multiple_sclerosis_hg19	5	0.986
region_chr12_8224940_8878799	Astle_et_al_2016_High_light_scatter_reticulocyte_count	20	0.854
region_chr13_48809826_51016955	Astle_et_al_2016_White_blood_cell_count	15	0.601
region_chr15_89932319_91621162	UKB_1807_Fathers_age_at_death	17	0.785
region_chr16_3951195_5068344	UKB_23099_Body_fat_percentage	4	0.946
region_chr16_88974757_90226404	Astle_et_al_2016_Platelet_count	5	0.705
region_chr17_1269105_2025437	Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	3	0.672
region_chr17_41743558_43694719	Astle_et_al_2016_Sum_basophil_neutrophil_counts	2	0.637
region_chr17_47798656_49440038	Astle_et_al_2016_Granulocyte_count	4	0.575
region_chr17_65152010_66804312	UKB_50_Standing_height	1	0.762
region_chr17_7414079_8403107	Astle_et_al_2016_Granulocyte_count	6	0.599
region_chr17_7414079_8403107	GIANT_HEIGHT	9	0.684
region_chr18_8498933_11075914	Astle_et_al_2016_Platelet_count	5	0.547
region_chr19_39679979_40478694	Astle_et_al_2016_Sum_eosinophil_basophil_counts	2	0.579
region_chr19_44239955_45599439	Astle_et_al_2016_Sum_eosinophil_basophil_counts	1	0.589
region_chr19_46646825_48778970	Astle_et_al_2016_Lymphocyte_counts	5	0.738
region_chr19_46646825_48778970	Astle_et_al_2016_Sum_eosinophil_basophil_counts	1	0.505
region_chr19_610729_2098397	Astle_et_al_2016_Reticulocyte_count	5	0.643
region_chr19_610729_2098397	Astle_et_al_2016_Sum_eosinophil_basophil_counts	5	0.934
region_chr1_10583_1961168	UKB_50_Standing_height	3	0.602
region_chr1_16571235_18336405	RA_OKADA_TRANS_ETHNIC	14	0.911
region_chr1_173128768_175120632	UKB_6152_9_diagnosed_by_doctor_Hayfever_allergic_rhinitis_or_eczema	4	0.748
region_chr1_178985335_181174985	Astle_et_al_2016_Monocyte_count	53	0.993
region_chr22_42294812_43318194	Astle_et_al_2016_Myeloid_white_cell_count	23	0.821
region_chr2_141761033_143761915	UKB_6152_9_diagnosed_by_doctor_Hayfever_allergic_rhinitis_or_eczema	1	0.646
region_chr2_26672117_28375910	Astle_et_al_2016_White_blood_cell_count	6	0.813
region_chr2_30240845_31327584	Astle_et_al_2016_Platelet_count	4	0.998
region_chr3_196244537_197349116	UKB_6152_8_diagnosed_by_doctor_Asthma	4	0.872
region_chr3_36445350_38314625	GIANT_HEIGHT	8	0.727
region_chr3_63683610_65287863	Astle_et_al_2016_Neutrophil_count	5	0.842
region_chr4_38905401_40200989	UKB_6152_9_diagnosed_by_doctor_Hayfever_allergic_rhinitis_or_eczema	1	0.523
region_chr4_98502916_99757203	UKB_23099_Body_fat_percentage	14	0.968
region_chr5_130183332_132803957	Astle_et_al_2016_Eosinophil_counts	4	0.803
region_chr5_130183332_132803957	Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	5	0.768
region_chr5_149283061_151181737	Astle_et_al_2016_Monocyte_count	10	0.894
region_chr6_133923105_135903039	UKB_20002_1111_self_reported_asthma	2	0.697
region_chr6_32714887_33268720	Astle_et_al_2016_Reticulocyte_count	1	0.757
region_chr6_32714887_33268720	UKB_23099_Body_fat_percentage	1	0.507
region_chr7_129138332_130737653	UKB_50_Standing_height	2	0.932
region_chr7_148118226_150143569	Astle_et_al_2016_Myeloid_white_cell_count	2	0.537
region_chr7_150143569_151014417	CARDIoGRAM_C4D_CAD_ADDITIVE	1	0.757
region_chr7_6534226_7769121	Astle_et_al_2016_White_blood_cell_count	3	0.739
region_chr8_127646866_129368893	Astle_et_al_2016_Sum_eosinophil_basophil_counts	4	0.876
region_chr8_17978890_19635329	UKB_50_Standing_height	3	0.671
region_chr10_30169909_31618591	RA_OKADA_TRANS_ETHNIC	1	0.622
region_chr10_79116992_80654923	CARDIoGRAM_C4D_CAD_ADDITIVE	10	0.692
region_chr10_87367307_89253624	UKB_20002_1065_self_reported_hypertension	5	0.787
region_chr10_93636611_94461486	UKB_23099_Body_fat_percentage	1	0.573
region_chr11_1192365_3644251	Astle_et_al_2016_Sum_eosinophil_basophil_counts	3	0.691
region_chr11_1192365_3644251	UKB_20002_1065_self_reported_hypertension	6	0.703
region_chr11_59013076_62456299	Astle_et_al_2016_Neutrophil_count	9	0.868
region_chr11_59013076_62456299	Astle_et_al_2016_White_blood_cell_count	9	0.758
region_chr11_59013076_62456299	RA_OKADA_TRANS_ETHNIC	26	0.914
region_chr11_66131160_68238358	Astle_et_al_2016_Red_blood_cell_count	5	0.885
region_chr12_116649666_117697570	GIANT_HEIGHT	25	0.711
region_chr12_55272053_57155077	Astle_et_al_2016_Platelet_count	1	0.7
region_chr12_6310587_8224940	UKB_50_Standing_height	1	0.568
region_chr17_2025437_3799018	Astle_et_al_2016_Neutrophil_count	1	0.54
region_chr17_21387045_29007226	Astle_et_al_2016_Reticulocyte_count	4	0.726
region_chr17_36141651_38653091	Astle_et_al_2016_Eosinophil_counts	20	0.743
region_chr17_76379479_78267332	UKB_20002_1065_self_reported_hypertension	17	1
region_chr19_3019662_4348970	Astle_et_al_2016_Red_blood_cell_count	5	0.629
region_chr19_40478694_41625199	CARDIoGRAM_C4D_CAD_ADDITIVE	2	0.72
region_chr19_43358303_44239955	GLGC_Mc_LDL	1	0.717
region_chr19_4348970_5811841	Astle_et_al_2016_Granulocyte_count	3	0.578
region_chr19_8282629_9127717	GLGC_Mc_TG	2	0.57
region_chr1_107867043_109761309	Astle_et_al_2016_White_blood_cell_count	8	0.771
region_chr1_159943258_162376931	UKB_6152_9_diagnosed_by_doctor_Hayfever_allergic_rhinitis_or_eczema	7	0.968
region_chr1_25190354_27075376	Astle_et_al_2016_White_blood_cell_count	2	0.573
region_chr1_29689034_31973084	UKB_21001_Body_mass_index_BMI	42	0.822
region_chr22_19924835_22002927	Astle_et_al_2016_Myeloid_white_cell_count	2	0.689
region_chr22_40149793_42294812	UKB_20022_Birth_weight	1	0.716
region_chr22_44599428_46074615	UKB_20022_Birth_weight	24	0.968
region_chr2_166499460_169111726	UKB_50_Standing_height	19	0.891
region_chr2_232685293_234242343	Astle_et_al_2016_High_light_scatter_reticulocyte_count	1	0.644
region_chr3_110794923_113096852	Astle_et_al_2016_Sum_eosinophil_basophil_counts	10	0.754
region_chr3_195065945_196244537	UKB_6152_8_diagnosed_by_doctor_Asthma	8	0.736
region_chr3_46616010_47685722	Astle_et_al_2016_Monocyte_count	4	0.805
region_chr3_58171792_60287177	RA_OKADA_TRANS_ETHNIC	3	0.636
region_chr4_154134974_156563945	UKB_20002_1065_self_reported_hypertension	33	0.807
region_chr5_35048865_36433852	UKB_20002_1111_self_reported_asthma	9	0.616
region_chr6_129539886_130614309	UKB_20022_Birth_weight	11	0.577
region_chr6_33268720_35487979	Astle_et_al_2016_Eosinophil_counts	1	0.923
region_chr7_137191815_139059933	UKB_1200_Sleeplessness_or_insomnia	3	0.846
region_chr7_6534226_7769121	Astle_et_al_2016_Granulocyte_count	1	0.703
region_chr7_99117851_100599028	GIANT_HEIGHT	1	0.637
region_chr8_127646866_129368893	Astle_et_al_2016_Myeloid_white_cell_count	48	0.812
region_chr8_23039544_24817205	UKB_23099_Body_fat_percentage	1	0.536
region_chr9_127293231_129403191	UKB_6152_9_diagnosed_by_doctor_Hayfever_allergic_rhinitis_or_eczema	7	0.807
region_chr10_118831841_120647811	Astle_et_al_2016_Lymphocyte_counts	4	0.613
region_chr10_25289667_26599755	Astle_et_al_2016_High_light_scatter_reticulocyte_count	2	0.634
region_chr10_33419040_34820427	UKB_50_Standing_height	1	0.69
region_chr10_44234627_46978910	Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	6	0.904
region_chr10_71748755_73662792	Astle_et_al_2016_Myeloid_white_cell_count	17	0.998
region_chr10_79116992_80654923	Astle_et_al_2016_High_light_scatter_reticulocyte_count	1	0.527
region_chr11_70855_1192365	GIANT_HEIGHT	1	0.719
region_chr12_109898914_112825713	Astle_et_al_2016_White_blood_cell_count	4	0.793
region_chr12_119316305_121569746	Astle_et_al_2016_Neutrophil_count	108	0.982
region_chr13_38304026_40495126	EGG_BW3_EUR	2	0.766
region_chr14_64753580_65932837	Astle_et_al_2016_Granulocyte_count	1	0.587
region_chr15_101012489_101980763	Astle_et_al_2016_Sum_basophil_neutrophil_counts	1	0.589
region_chr15_38238576_40091931	Astle_et_al_2016_High_light_scatter_reticulocyte_count	37	0.909
region_chr15_40885316_42484201	Astle_et_al_2016_Eosinophil_counts	1	0.532
region_chr16_1157206_2714828	Astle_et_al_2016_Myeloid_white_cell_count	3	0.542
region_chr16_27434434_29025292	Astle_et_al_2016_Platelet_count	3	0.731
region_chr16_27434434_29025292	IBD.EUR.Inflammatory_Bowel_Disease	1	0.533
region_chr16_29025292_31371622	UKB_20002_1065_self_reported_hypertension	1	0.553
region_chr17_41743558_43694719	Astle_et_al_2016_Sum_eosinophil_basophil_counts	1	0.627
region_chr17_5838014_7414079	Astle_et_al_2016_Granulocyte_count	7	0.859
region_chr17_7414079_8403107	Astle_et_al_2016_Platelet_count	16	0.825
region_chr18_23069508_25416687	Astle_et_al_2016_Granulocyte_count	47	0.738
region_chr18_48413361_50204214	Astle_et_al_2016_High_light_scatter_reticulocyte_count	3	0.666
region_chr18_57546606_58862988	Astle_et_al_2016_Sum_eosinophil_basophil_counts	8	0.693
region_chr19_4348970_5811841	Astle_et_al_2016_Neutrophil_count	3	0.523
region_chr19_44239955_45599439	UKB_20002_1111_self_reported_asthma	24	0.994
region_chr19_9127717_11173352	UKB_20002_1111_self_reported_asthma	2	0.872
region_chr1_18336405_20142656	UKB_21001_Body_mass_index_BMI	5	0.551
region_chr1_212668988_214404923	UKB_6152_9_diagnosed_by_doctor_Hayfever_allergic_rhinitis_or_eczema	1	0.599
region_chr1_27075376_29689034	Astle_et_al_2016_Reticulocyte_count	6	0.771
region_chr20_40982216_41957049	EGG_BW3_EUR	3	0.715
region_chr20_63558827_64333810	UKB_6152_8_diagnosed_by_doctor_Asthma	14	0.864
region_chr22_29255810_31043932	Astle_et_al_2016_Platelet_count	7	0.638
region_chr22_49430885_50804870	Astle_et_al_2016_Platelet_count	43	0.999
region_chr22_49430885_50804870	UKB_21001_Body_mass_index_BMI	51	0.784
region_chr2_102072305_102971757	UKB_6152_8_diagnosed_by_doctor_Asthma	2	0.675
region_chr2_84913556_87738988	Astle_et_al_2016_Eosinophil_counts	3	0.628
region_chr2_84913556_87738988	UKB_50_Standing_height	37	0.887
region_chr3_194338942_195065945	Astle_et_al_2016_Granulocyte_count	1	0.509
region_chr6_25684359_26791023	UKB_20002_1065_self_reported_hypertension	4	0.884
region_chr6_29770194_30830391	Astle_et_al_2016_Lymphocyte_counts	2	0.927
region_chr6_29770194_30830391	Astle_et_al_2016_White_blood_cell_count	2	0.64
region_chr6_30830391_31603441	UKB_20002_1452_self_reported_eczema_or_dermatitis	7	0.981
region_chr7_127229167_129138332	RA_OKADA_TRANS_ETHNIC	8	0.865
region_chr7_137191815_139059933	GIANT_HEIGHT	4	0.769
region_chr7_7769121_9083793	SSGAC_Education_Years_Pooled	1	0.63
region_chr8_11421489_13634266	UKB_1200_Sleeplessness_or_insomnia	2	0.674
region_chr8_41863936_42918680	IBD.EUR.Crohns_Disease	2	0.639
region_chr9_132423455_134176000	CARDIoGRAM_C4D_CAD_ADDITIVE	7	0.74
region_chr9_34642246_36743286	Astle_et_al_2016_Lymphocyte_counts	6	0.766
region_chr10_26599755_29034307	Astle_et_al_2016_Myeloid_white_cell_count	2	0.536
region_chr10_87367307_89253624	Astle_et_al_2016_Myeloid_white_cell_count	29	0.894
region_chr11_117876395_119344766	Astle_et_al_2016_White_blood_cell_count	1	0.523
region_chr11_133130151_134336099	UKB_20127_Neuroticism_score	4	0.592
region_chr11_13351577_15721006	UKB_50_Standing_height	9	0.874
region_chr11_59013076_62456299	UKB_6152_8_diagnosed_by_doctor_Asthma	6	0.608
region_chr12_109898914_112825713	Astle_et_al_2016_Neutrophil_count	2	0.662
region_chr12_132236187_133264925	UKB_50_Standing_height	4	0.675
region_chr12_51382710_52645220	Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	3	0.829
region_chr12_52645220_54385039	GIANT_HEIGHT	2	0.559
region_chr12_55272053_57155077	Astle_et_al_2016_Sum_eosinophil_basophil_counts	6	0.9
region_chr14_104535386_105874495	Astle_et_al_2016_High_light_scatter_reticulocyte_count	157	0.712
region_chr14_34377045_35390387	UKB_50_Standing_height	1	0.708
region_chr15_101012489_101980763	Astle_et_al_2016_Granulocyte_count	1	0.546
region_chr16_14370145_16060203	GLGC_Mc_TG	33	0.968
region_chr16_25975541_27434434	UKB_20002_1111_self_reported_asthma	5	0.67
region_chr16_25975541_27434434	UKB_6152_8_diagnosed_by_doctor_Asthma	5	0.743
region_chr16_2714828_3951195	GIANT_HEIGHT	1	0.569
region_chr16_53348660_55869862	UKB_50_Standing_height	2	0.618
region_chr16_84412277_85115079	UKB_50_Standing_height	1	0.51
region_chr17_41743558_43694719	Astle_et_al_2016_Monocyte_count	14	0.843
region_chr17_47798656_49440038	Astle_et_al_2016_White_blood_cell_count	8	0.741
region_chr17_4792966_5838014	Astle_et_al_2016_Sum_eosinophil_basophil_counts	3	0.704
region_chr17_66804312_69862629	UKB_20002_1473_self_reported_high_cholesterol	1	0.657
region_chr17_7414079_8403107	Astle_et_al_2016_Myeloid_white_cell_count	12	0.844
region_chr17_7414079_8403107	UKB_20022_Birth_weight	6	0.989
region_chr17_80863788_82076532	UKB_23099_Body_fat_percentage	3	0.898
region_chr18_23069508_25416687	Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	49	0.729
region_chr1_159943258_162376931	RA_OKADA_TRANS_ETHNIC	10	0.687
region_chr1_23594100_25190354	UKB_6152_9_diagnosed_by_doctor_Hayfever_allergic_rhinitis_or_eczema	3	0.537
region_chr1_7187275_9305140	GIANT_HEIGHT	8	0.682
region_chr1_76262450_79195513	Astle_et_al_2016_Sum_basophil_neutrophil_counts	1	0.529
region_chr1_91420760_93070902	Astle_et_al_2016_Sum_eosinophil_basophil_counts	1	0.759
region_chr2_141761033_143761915	Astle_et_al_2016_Myeloid_white_cell_count	3	0.775
region_chr2_221656456_223994702	GIANT_HEIGHT	1	0.537
region_chr2_26672117_28375910	Astle_et_al_2016_High_light_scatter_reticulocyte_count	7	0.931
region_chr2_35896940_37905569	UKB_23099_Body_fat_percentage	6	0.754
region_chr3_171247120_172577941	GIANT_HEIGHT	1	0.707
region_chr4_98502916_99757203	UKB_21001_Body_mass_index_BMI	9	0.921
