region	phenotype	count	best_rcp
region_chr4_6771316_7537965	Astle_et_al_2016_Granulocyte_count	7	0.739
region_chr4_700926_1476986	Astle_et_al_2016_Neutrophil_count	1	0.937
region_chr4_700926_1476986	GIANT_HEIGHT	1	0.506
region_chr4_73726673_76209554	Astle_et_al_2016_Neutrophil_count	7	0.865
region_chr4_73726673_76209554	Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	6	0.866
region_chr4_76209554_78172825	UKB_50_Standing_height	5	0.608
region_chr4_78172825_80069143	Astle_et_al_2016_Sum_eosinophil_basophil_counts	1	0.578
region_chr4_82451440_83878503	Astle_et_al_2016_Lymphocyte_counts	2	0.573
region_chr4_82451440_83878503	Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	3	0.618
region_chr5_102243065_103984304	Astle_et_al_2016_Red_blood_cell_count	1	0.512
region_chr5_109298233_111485446	UKB_20002_1226_self_reported_hypothyroidism_or_myxoedema	5	0.999
region_chr5_11940_982137	Astle_et_al_2016_Red_blood_cell_count	10	0.646
region_chr5_11940_982137	GIANT_HEIGHT	1	0.672
region_chr5_121116471_123221211	GIANT_HEIGHT	2	0.612
region_chr5_121116471_123221211	UKB_50_Standing_height	4	0.612
region_chr5_126449957_128008912	Astle_et_al_2016_Lymphocyte_counts	43	0.968
region_chr5_130183332_132803957	Astle_et_al_2016_Sum_eosinophil_basophil_counts	2	0.762
region_chr5_130183332_132803957	UKB_50_Standing_height	14	0.818
region_chr5_132803957_135441711	UKB_50_Standing_height	2	0.851
region_chr5_141266403_143601683	Astle_et_al_2016_Eosinophil_counts	1	0.656
region_chr5_141266403_143601683	GIANT_HEIGHT	1	0.756
region_chr5_147802435_149283061	Astle_et_al_2016_Myeloid_white_cell_count	1	0.892
region_chr5_149283061_151181737	Astle_et_al_2016_Lymphocyte_counts	9	0.977
region_chr5_149283061_151181737	Astle_et_al_2016_Monocyte_count	1	0.573
region_chr5_151181737_153488214	Astle_et_al_2016_Granulocyte_count	3	0.838
region_chr5_155946495_157201689	UKB_20002_1473_self_reported_high_cholesterol	2	0.702
region_chr5_157201689_159398690	Astle_et_al_2016_Platelet_count	1	0.556
region_chr5_159398690_160546937	Astle_et_al_2016_Eosinophil_counts	1	0.728
region_chr5_173251324_174215868	Astle_et_al_2016_White_blood_cell_count	1	0.989
region_chr5_178986463_179974244	Astle_et_al_2016_Monocyte_count	1	0.504
region_chr5_31390142_33500075	GIANT_HEIGHT	4	0.742
region_chr5_38802308_40287627	Astle_et_al_2016_High_light_scatter_reticulocyte_count	5	0.767
region_chr5_68555033_71944629	Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	16	0.732
region_chr5_74463501_76503041	Astle_et_al_2016_Platelet_count	4	0.785
region_chr5_76503041_78327508	UKB_20022_Birth_weight	1	0.536
region_chr5_88094174_89595713	UKB_21001_Body_mass_index_BMI	4	0.866
region_chr5_91126837_92504835	UKB_20022_Birth_weight	3	0.759
region_chr5_94474279_96627815	Astle_et_al_2016_High_light_scatter_reticulocyte_count	3	0.892
region_chr5_94474279_96627815	GIANT_HEIGHT	2	0.558
region_chr6_103535520_105608858	UKB_50_Standing_height	3	0.704
region_chr6_10540084_11790583	UKB_20016_Fluid_intelligence_score	1	0.523
region_chr6_108143176_109983044	UKB_23099_Body_fat_percentage	1	0.571
region_chr6_108143176_109983044	pgc.scz2	4	0.726
region_chr6_121584530_123535036	Astle_et_al_2016_Monocyte_count	4	0.64
region_chr6_125103237_127219316	Astle_et_al_2016_White_blood_cell_count	1	0.558
region_chr6_129539886_130614309	Astle_et_al_2016_High_light_scatter_reticulocyte_count	31	0.837
region_chr6_129539886_130614309	GIANT_HEIGHT	33	0.95
region_chr6_130614309_132444530	UKB_23099_Body_fat_percentage	7	0.655
region_chr6_13209156_14802693	UKB_6150_1_Vascular_or_heart_problems_diagnosed_by_doctor_Heart_attack	1	0.998
region_chr6_132444530_133923105	Astle_et_al_2016_High_light_scatter_reticulocyte_count	21	0.97
region_chr6_132444530_133923105	UKB_20002_1065_self_reported_hypertension	12	0.784
region_chr6_133923105_135903039	UKB_6152_8_diagnosed_by_doctor_Asthma	3	0.823
region_chr6_133923105_135903039	UKB_6152_9_diagnosed_by_doctor_Hayfever_allergic_rhinitis_or_eczema	5	0.63
region_chr6_138501492_139524299	Astle_et_al_2016_Red_blood_cell_count	1	0.815
region_chr6_138501492_139524299	UKB_20002_1473_self_reported_high_cholesterol	18	0.834
region_chr6_141967342_144998674	Astle_et_al_2016_Granulocyte_count	5	0.993
region_chr6_146344288_148599216	Astle_et_al_2016_Sum_basophil_neutrophil_counts	1	0.671
region_chr6_146344288_148599216	Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	1	0.583
region_chr6_154652986_156442192	UKB_50_Standing_height	1	0.553
region_chr6_157797687_160159465	Astle_et_al_2016_Sum_basophil_neutrophil_counts	2	0.899
region_chr6_157797687_160159465	GIANT_HEIGHT	2	0.638
region_chr6_19207256_21683834	Astle_et_al_2016_Platelet_count	1	0.765
region_chr6_25684359_26791023	Astle_et_al_2016_Lymphocyte_counts	1	0.526
region_chr6_25684359_26791023	Astle_et_al_2016_Red_blood_cell_count	1	0.667
region_chr6_26791023_28050041	Astle_et_al_2016_Sum_eosinophil_basophil_counts	1	0.565
region_chr6_28949831_29770194	IMMUNOBASE_Systemic_lupus_erythematosus_hg19	1	0.712
region_chr6_29770194_30830391	UKB_20002_1225_self_reported_hyperthyroidism_or_thyrotoxicosis	1	0.644
region_chr6_29770194_30830391	UKB_21001_Body_mass_index_BMI	1	0.719
region_chr6_29770194_30830391	pgc.scz2	18	0.984
region_chr6_30830391_31603441	Astle_et_al_2016_High_light_scatter_reticulocyte_count	1	0.6
region_chr6_30830391_31603441	IBD.EUR.Inflammatory_Bowel_Disease	1	0.849
region_chr6_30830391_31603441	UKB_20002_1065_self_reported_hypertension	1	0.776
region_chr6_30830391_31603441	UKB_20002_1111_self_reported_asthma	2	0.802
region_chr6_30830391_31603441	UKB_21001_Body_mass_index_BMI	3	0.797
region_chr6_30830391_31603441	UKB_6152_9_diagnosed_by_doctor_Hayfever_allergic_rhinitis_or_eczema	1	0.996
region_chr6_31603441_32714887	Astle_et_al_2016_Monocyte_count	35	0.789
region_chr6_31603441_32714887	UKB_20002_1065_self_reported_hypertension	7	0.939
region_chr6_32714887_33268720	Astle_et_al_2016_Eosinophil_counts	1	0.581
region_chr6_32714887_33268720	Astle_et_al_2016_Platelet_count	1	0.548
region_chr6_32714887_33268720	IBD.EUR.Inflammatory_Bowel_Disease	3	1
region_chr6_33268720_35487979	Astle_et_al_2016_Lymphocyte_counts	1	0.517
region_chr6_33268720_35487979	UKB_6152_9_diagnosed_by_doctor_Hayfever_allergic_rhinitis_or_eczema	7	0.933
region_chr6_35487979_37604820	Astle_et_al_2016_Granulocyte_count	1	0.76
region_chr6_35487979_37604820	Astle_et_al_2016_Myeloid_white_cell_count	1	0.675
region_chr6_35487979_37604820	Astle_et_al_2016_Neutrophil_count	1	0.776
region_chr6_35487979_37604820	UKB_20022_Birth_weight	1	0.604
region_chr6_35487979_37604820	UKB_6152_9_diagnosed_by_doctor_Hayfever_allergic_rhinitis_or_eczema	1	0.537
region_chr6_40377376_42070983	Astle_et_al_2016_Granulocyte_count	15	0.935
region_chr6_40377376_42070983	Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	15	0.932
region_chr6_42070983_43788432	UKB_20002_1065_self_reported_hypertension	3	0.723
region_chr6_42070983_43788432	pgc.scz2	5	0.579
region_chr6_43788432_45438826	RA_OKADA_TRANS_ETHNIC	6	0.848
region_chr6_47344162_48423389	Astle_et_al_2016_High_light_scatter_reticulocyte_count	25	0.69
region_chr6_5791239_6784974	Astle_et_al_2016_High_light_scatter_reticulocyte_count	3	0.979
region_chr6_6784974_7808703	Astle_et_al_2016_Monocyte_count	2	0.855
region_chr6_6784974_7808703	UKB_50_Standing_height	1	0.541
region_chr6_73924_1452127	Astle_et_al_2016_Lymphocyte_counts	1	0.931
region_chr6_81219505_82417432	Astle_et_al_2016_Monocyte_count	6	0.955
region_chr6_88112422_89263333	UKB_50_Standing_height	2	0.765
region_chr6_89263333_91133478	Astle_et_al_2016_Lymphocyte_counts	1	0.625
region_chr7_100599028_101555972	UKB_20002_1226_self_reported_hypothyroidism_or_myxoedema	20	0.838
region_chr7_117140124_118711527	UKB_20127_Neuroticism_score	1	0.515
region_chr7_127229167_129138332	UKB_20022_Birth_weight	1	0.593
region_chr7_13844577_15104032	Astle_et_al_2016_Lymphocyte_counts	1	0.617
region_chr7_148118226_150143569	Astle_et_al_2016_White_blood_cell_count	7	0.631
region_chr7_150143569_151014417	GIANT_HEIGHT	4	0.696
region_chr7_150143569_151014417	UKB_6152_9_diagnosed_by_doctor_Hayfever_allergic_rhinitis_or_eczema	20	0.997
region_chr7_151014417_152552721	UKB_21001_Body_mass_index_BMI	4	0.545
region_chr7_15104032_16862445	Astle_et_al_2016_Reticulocyte_count	2	0.626
region_chr7_15104032_16862445	UKB_20022_Birth_weight	1	0.766
region_chr7_2022763_2732593	Astle_et_al_2016_High_light_scatter_reticulocyte_count	1	0.621
region_chr7_2022763_2732593	Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	1	0.54
region_chr7_22468010_23431823	Astle_et_al_2016_Neutrophil_count	1	0.544
region_chr7_2732593_4533797	UKB_6152_9_diagnosed_by_doctor_Hayfever_allergic_rhinitis_or_eczema	1	0.828
region_chr7_38927103_39823071	UKB_20016_Fluid_intelligence_score	1	0.531
region_chr7_39823071_41962213	UKB_20002_1265_self_reported_migraine	3	0.844
region_chr7_43119475_44724229	MAGNETIC_LDL.C	2	0.678
region_chr7_44724229_45913323	Astle_et_al_2016_Granulocyte_count	2	0.52
region_chr7_44724229_45913323	Astle_et_al_2016_Red_blood_cell_count	3	0.792
region_chr7_44724229_45913323	Astle_et_al_2016_Sum_basophil_neutrophil_counts	6	0.581
region_chr7_44724229_45913323	UKB_20016_Fluid_intelligence_score	5	0.917
region_chr7_44724229_45913323	UKB_23099_Body_fat_percentage	9	0.694
region_chr7_4533797_5376601	UKB_20002_1226_self_reported_hypothyroidism_or_myxoedema	1	0.842
region_chr7_46947122_49172682	Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	2	0.934
region_chr7_46947122_49172682	Astle_et_al_2016_White_blood_cell_count	1	0.815
region_chr7_55623891_57314931	Astle_et_al_2016_Lymphocyte_counts	6	0.937
region_chr7_55623891_57314931	GIANT_HEIGHT	39	0.699
region_chr7_72409900_73920272	Astle_et_al_2016_Neutrophil_count	20	0.915
region_chr7_72409900_73920272	Astle_et_al_2016_Platelet_count	9	0.929
region_chr7_72409900_73920272	Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	17	0.895
region_chr7_72409900_73920272	Astle_et_al_2016_White_blood_cell_count	15	0.799
region_chr7_72409900_73920272	UKB_20002_1473_self_reported_high_cholesterol	1	0.618
region_chr7_73920272_76829247	IMMUNOBASE_Systemic_lupus_erythematosus_hg19	1	0.531
region_chr7_73920272_76829247	UKB_21001_Body_mass_index_BMI	1	0.601
region_chr7_76829247_78464542	GIANT_HEIGHT	5	0.697
region_chr7_7769121_9083793	Astle_et_al_2016_Sum_basophil_neutrophil_counts	3	0.834
region_chr7_933116_1313431	UKB_20002_1473_self_reported_high_cholesterol	1	0.532
region_chr7_933116_1313431	UKB_50_Standing_height	1	0.845
region_chr7_99117851_100599028	UKB_20002_1065_self_reported_hypertension	15	0.703
region_chr7_99117851_100599028	UKB_50_Standing_height	13	0.965
region_chr8_100608730_103111078	Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	3	0.581
region_chr8_10605687_11421489	Astle_et_al_2016_Granulocyte_count	2	0.602
region_chr8_10605687_11421489	RA_OKADA_TRANS_ETHNIC	8	0.904
region_chr8_11421489_13634266	IMMUNOBASE_Systemic_lupus_erythematosus_hg19	4	0.909
region_chr8_11421489_13634266	RA_OKADA_TRANS_ETHNIC	6	0.885
region_chr8_118673218_120189461	Astle_et_al_2016_Platelet_count	1	0.525
region_chr8_125398675_127646866	Astle_et_al_2016_Sum_eosinophil_basophil_counts	4	0.824
region_chr8_127646866_129368893	Astle_et_al_2016_Neutrophil_count	13	0.814
region_chr8_127646866_129368893	Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	13	0.844
region_chr8_139713400_141963553	Astle_et_al_2016_Sum_basophil_neutrophil_counts	2	0.98
region_chr8_139713400_141963553	UKB_20022_Birth_weight	1	0.631
region_chr8_143155464_145078481	Astle_et_al_2016_Platelet_count	12	0.885
region_chr8_143155464_145078481	SSGAC_Education_Years_Pooled	7	0.616
region_chr8_143155464_145078481	UKB_50_Standing_height	1	0.584
region_chr8_17978890_19635329	RA_OKADA_TRANS_ETHNIC	1	0.535
region_chr8_23039544_24817205	Astle_et_al_2016_White_blood_cell_count	15	0.948
region_chr8_23039544_24817205	EGG_BW3_EUR	1	0.522
region_chr8_26825008_28304875	Astle_et_al_2016_Lymphocyte_counts	2	0.808
region_chr8_45929693_49169911	Astle_et_al_2016_Monocyte_count	45	0.963
region_chr8_58156092_58815541	UKB_20002_1473_self_reported_high_cholesterol	1	0.575
region_chr8_6285276_7295557	Astle_et_al_2016_Monocyte_count	3	1
region_chr8_71377219_72904964	UKB_21001_Body_mass_index_BMI	7	0.86
region_chr8_7295557_9297184	UKB_20002_1473_self_reported_high_cholesterol	1	0.575
region_chr8_85043384_86399480	Astle_et_al_2016_High_light_scatter_reticulocyte_count	5	0.675
region_chr8_86399480_88073253	UKB_23099_Body_fat_percentage	1	0.539
region_chr8_9297184_9783277	Astle_et_al_2016_White_blood_cell_count	1	0.769
region_chr8_93993299_95522578	Astle_et_al_2016_Sum_eosinophil_basophil_counts	1	0.633
region_chr8_93993299_95522578	GIANT_HEIGHT	1	0.593
region_chr9_10023_1079707	Astle_et_al_2016_Myeloid_white_cell_count	2	0.726
region_chr9_107932781_110015744	SSGAC_Education_Years_Pooled	7	0.734
region_chr9_110015744_112068802	Astle_et_al_2016_Eosinophil_counts	1	0.528
region_chr9_110015744_112068802	Astle_et_al_2016_Myeloid_white_cell_count	1	0.807
region_chr9_110015744_112068802	Astle_et_al_2016_Reticulocyte_count	1	0.721
region_chr9_112930865_114257521	Astle_et_al_2016_Sum_basophil_neutrophil_counts	2	0.839
region_chr9_119498019_122109043	Astle_et_al_2016_Lymphocyte_counts	10	0.83
region_chr9_126297386_127293231	UKB_21001_Body_mass_index_BMI	1	0.529
region_chr9_127293231_129403191	Astle_et_al_2016_High_light_scatter_reticulocyte_count	4	0.834
region_chr9_127293231_129403191	Astle_et_al_2016_White_blood_cell_count	14	0.969
region_chr9_127293231_129403191	UKB_20002_1226_self_reported_hypothyroidism_or_myxoedema	13	0.917
region_chr9_132423455_134176000	Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	5	0.924
region_chr9_132423455_134176000	GIANT_HEIGHT	1	0.516
region_chr9_132423455_134176000	UKB_50_Standing_height	18	0.732
region_chr9_134697518_136047132	Astle_et_al_2016_Sum_basophil_neutrophil_counts	4	0.836
region_chr9_136047132_136605890	Astle_et_al_2016_Eosinophil_counts	4	0.692
region_chr9_136047132_136605890	Astle_et_al_2016_White_blood_cell_count	6	0.971
region_chr9_14836365_16659657	Astle_et_al_2016_Reticulocyte_count	2	0.777
region_chr9_14836365_16659657	UKB_23099_Body_fat_percentage	2	0.778
region_chr9_33578336_34642246	Astle_et_al_2016_High_light_scatter_reticulocyte_count	3	0.796
region_chr9_33578336_34642246	RA_OKADA_TRANS_ETHNIC	1	0.806
region_chr9_34642246_36743286	UKB_20002_1065_self_reported_hypertension	57	1
region_chr9_4495328_4884926	Astle_et_al_2016_Sum_eosinophil_basophil_counts	5	0.83
region_chr9_4495328_4884926	GIANT_HEIGHT	1	0.603
region_chr9_4495328_4884926	UKB_50_Standing_height	11	0.999
region_chr9_4884926_6557589	Astle_et_al_2016_Sum_eosinophil_basophil_counts	1	0.804
region_chr9_4884926_6557589	UKB_20002_1111_self_reported_asthma	2	0.717
region_chr9_4884926_6557589	UKB_20002_1226_self_reported_hypothyroidism_or_myxoedema	1	0.727
region_chr9_76285267_76856292	Astle_et_al_2016_Myeloid_white_cell_count	6	0.79
region_chr9_82825886_84323281	Astle_et_al_2016_Granulocyte_count	1	0.52
region_chr9_82825886_84323281	Astle_et_al_2016_Myeloid_white_cell_count	1	0.537
region_chr9_82825886_84323281	Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	1	0.534
region_chr9_89827251_91404921	Astle_et_al_2016_Monocyte_count	5	0.65
region_chr9_89827251_91404921	IBD.EUR.Inflammatory_Bowel_Disease	1	0.524
region_chr9_89827251_91404921	UKB_6152_9_diagnosed_by_doctor_Hayfever_allergic_rhinitis_or_eczema	1	0.626
region_chr9_91404921_93909416	Astle_et_al_2016_Sum_eosinophil_basophil_counts	1	0.813
region_chr9_96159758_98830577	Astle_et_al_2016_Platelet_count	1	0.72
region_chr9_96159758_98830577	Astle_et_al_2016_Red_blood_cell_count	10	0.85
region_chr9_98830577_101862155	UKB_23099_Body_fat_percentage	4	0.559
region_chr10_101189482_102620653	Astle_et_al_2016_Granulocyte_count	8	0.829
region_chr10_101189482_102620653	Astle_et_al_2016_White_blood_cell_count	3	0.567
region_chr10_10207433_12544798	Astle_et_al_2016_Platelet_count	1	0.642
region_chr10_10207433_12544798	UKB_20002_1065_self_reported_hypertension	2	0.632
region_chr10_102620653_104935290	Astle_et_al_2016_Myeloid_white_cell_count	7	0.9
region_chr10_110801735_113568673	UKB_21001_Body_mass_index_BMI	1	0.514
region_chr10_113568673_114661647	EGG_BW3_EUR	2	0.945
region_chr10_117764423_118831841	UKB_23099_Body_fat_percentage	2	0.607
region_chr10_118831841_120647811	Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	5	0.657
region_chr10_121471951_122141030	BCAC_ER_negative_BreastCancer_EUR	1	0.647
region_chr10_122141030_124109830	UKB_50_Standing_height	8	0.894
region_chr10_124109830_126312529	Astle_et_al_2016_Sum_basophil_neutrophil_counts	1	0.604
region_chr10_12544798_13279600	Astle_et_al_2016_Granulocyte_count	7	0.91
region_chr10_12544798_13279600	Astle_et_al_2016_Sum_basophil_neutrophil_counts	7	0.909
region_chr10_13279600_14984069	Astle_et_al_2016_Granulocyte_count	6	0.725
region_chr10_13279600_14984069	Astle_et_al_2016_White_blood_cell_count	3	0.632
region_chr10_13279600_14984069	UKB_23099_Body_fat_percentage	1	0.588
region_chr10_19427949_22483354	BCAC_ER_negative_BreastCancer_EUR	1	0.694
region_chr10_22886203_25289667	Astle_et_al_2016_Eosinophil_counts	9	0.749
region_chr10_22886203_25289667	Astle_et_al_2016_Myeloid_white_cell_count	8	0.879
region_chr10_22886203_25289667	Astle_et_al_2016_Platelet_count	8	0.854
region_chr10_22886203_25289667	Astle_et_al_2016_Sum_basophil_neutrophil_counts	8	0.874
region_chr10_22886203_25289667	Astle_et_al_2016_Sum_eosinophil_basophil_counts	10	0.764
region_chr10_22886203_25289667	Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	8	0.876
region_chr10_22886203_25289667	Astle_et_al_2016_White_blood_cell_count	8	0.88
region_chr10_29494763_30169909	Astle_et_al_2016_Lymphocyte_counts	1	0.651
region_chr10_29494763_30169909	Astle_et_al_2016_Monocyte_count	3	0.71
region_chr10_29494763_30169909	Astle_et_al_2016_Myeloid_white_cell_count	1	0.516
region_chr10_29494763_30169909	Astle_et_al_2016_White_blood_cell_count	2	0.701
region_chr10_44234627_46978910	Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	5	0.905
region_chr10_49632869_51856869	UKB_20022_Birth_weight	2	0.907
region_chr10_51856869_53343812	UKB_2395_2_Hair_or_balding_pattern_Pattern_2	1	0.577
region_chr10_58530227_60131651	UKB_20002_1466_self_reported_gout	2	0.644
region_chr10_65789857_68140391	UKB_23099_Body_fat_percentage	1	0.567
region_chr10_70461094_71748755	Astle_et_al_2016_Lymphocyte_counts	2	0.945
region_chr10_7129522_8732702	UKB_50_Standing_height	2	0.828
region_chr10_7129522_8732702	UKB_6152_8_diagnosed_by_doctor_Asthma	2	0.844
region_chr10_7129522_8732702	UKB_6152_9_diagnosed_by_doctor_Hayfever_allergic_rhinitis_or_eczema	2	0.844
region_chr10_71748755_73662792	Astle_et_al_2016_Granulocyte_count	1	0.636
region_chr10_73662792_76947056	UKB_23099_Body_fat_percentage	1	0.679
region_chr10_79116992_80654923	Astle_et_al_2016_High_light_scatter_reticulocyte_count	8	0.81
region_chr10_86177820_87367307	UKB_50_Standing_height	1	0.518
region_chr10_87367307_89253624	Astle_et_al_2016_Myeloid_white_cell_count	15	0.964
region_chr10_91575290_93636611	Astle_et_al_2016_Eosinophil_counts	19	0.931
region_chr10_91575290_93636611	UKB_20002_1111_self_reported_asthma	10	0.822
region_chr10_93636611_94461486	Astle_et_al_2016_Sum_basophil_neutrophil_counts	1	0.503
region_chr10_96062600_98481545	Astle_et_al_2016_Sum_basophil_neutrophil_counts	7	0.758
region_chr10_98908643_101189482	UKB_20002_1226_self_reported_hypothyroidism_or_myxoedema	4	0.988
region_chr11_100546438_101460390	Astle_et_al_2016_Lymphocyte_counts	1	0.572
region_chr11_106650168_107973474	UKB_1200_Sleeplessness_or_insomnia	1	0.525
region_chr11_10930480_12542682	UKB_50_Standing_height	4	0.805
region_chr11_111243672_112588765	UKB_6152_9_diagnosed_by_doctor_Hayfever_allergic_rhinitis_or_eczema	3	0.715
region_chr11_112588765_114387006	UKB_20127_Neuroticism_score	2	0.634
region_chr11_116512631_117876395	UKB_20002_1473_self_reported_high_cholesterol	4	1
region_chr11_117876395_119344766	Astle_et_al_2016_White_blood_cell_count	11	0.709
region_chr11_1192365_3644251	Astle_et_al_2016_Sum_basophil_neutrophil_counts	6	0.715
region_chr11_1192365_3644251	Astle_et_al_2016_Sum_eosinophil_basophil_counts	16	0.947
region_chr11_1192365_3644251	Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	5	0.705
region_chr11_1192365_3644251	Astle_et_al_2016_White_blood_cell_count	5	0.671
region_chr11_1192365_3644251	BCAC_ER_negative_BreastCancer_EUR	3	0.795
region_chr11_1192365_3644251	EGG_BW3_EUR	1	0.79
region_chr11_119344766_120896097	UKB_50_Standing_height	1	0.634
region_chr11_121305234_122721202	UKB_20022_Birth_weight	10	0.784
region_chr11_122721202_123629409	GIANT_HEIGHT	1	0.52
region_chr11_122721202_123629409	UKB_21001_Body_mass_index_BMI	1	0.655
region_chr11_122721202_123629409	UKB_23099_Body_fat_percentage	1	0.74
region_chr11_124625632_126441425	Astle_et_al_2016_Sum_eosinophil_basophil_counts	5	0.756
region_chr11_124625632_126441425	UKB_20002_1473_self_reported_high_cholesterol	2	0.94
region_chr11_124625632_126441425	pgc.scz2	3	0.975
region_chr11_128318642_130472680	Astle_et_al_2016_Granulocyte_count	2	0.607
region_chr11_128318642_130472680	Astle_et_al_2016_Lymphocyte_counts	2	0.596
region_chr11_130472680_131204717	pgc.scz2	2	0.755
region_chr11_15721006_17556855	Astle_et_al_2016_High_light_scatter_reticulocyte_count	1	0.665
region_chr11_30119810_32255355	GIANT_HEIGHT	11	0.682
region_chr11_35481057_37095265	UKB_6152_9_diagnosed_by_doctor_Hayfever_allergic_rhinitis_or_eczema	1	0.507
region_chr11_46984586_49844498	Astle_et_al_2016_Lymphocyte_counts	4	0.862
region_chr11_46984586_49844498	Astle_et_al_2016_Platelet_count	1	0.529
region_chr11_46984586_49844498	UKB_20127_Neuroticism_score	1	0.563
region_chr11_46984586_49844498	UKB_50_Standing_height	1	0.576
region_chr11_55315181_58690022	UKB_20002_1473_self_reported_high_cholesterol	3	0.619
region_chr11_59013076_62456299	Astle_et_al_2016_Reticulocyte_count	29	0.791
region_chr11_59013076_62456299	GIANT_HEIGHT	4	0.843
region_chr11_64037097_66131160	Astle_et_al_2016_Eosinophil_counts	4	0.86
region_chr11_64037097_66131160	Astle_et_al_2016_High_light_scatter_reticulocyte_count	34	0.989
region_chr11_64037097_66131160	BCAC_Overall_BreastCancer_EUR	1	0.589
region_chr11_64037097_66131160	UKB_50_Standing_height	1	0.563
region_chr11_64037097_66131160	UKB_6152_8_diagnosed_by_doctor_Asthma	4	0.98
region_chr11_69701362_71215246	UKB_20002_1065_self_reported_hypertension	1	0.706
region_chr11_70855_1192365	Astle_et_al_2016_Granulocyte_count	12	0.998
region_chr11_70855_1192365	Astle_et_al_2016_Platelet_count	9	0.919
region_chr11_70855_1192365	Astle_et_al_2016_Sum_basophil_neutrophil_counts	18	0.988
region_chr11_70855_1192365	Astle_et_al_2016_Sum_eosinophil_basophil_counts	10	0.968
region_chr11_70855_1192365	UKB_21001_Body_mass_index_BMI	8	0.752
region_chr11_74701306_77086163	GIANT_HEIGHT	7	0.907
region_chr11_8311727_9065770	Astle_et_al_2016_High_light_scatter_reticulocyte_count	2	0.904
region_chr11_8311727_9065770	Astle_et_al_2016_Red_blood_cell_count	1	0.566
region_chr11_8311727_9065770	UKB_20002_1065_self_reported_hypertension	21	0.727
region_chr11_93542991_94509094	UKB_23099_Body_fat_percentage	5	0.553
region_chr11_94509094_95992877	Astle_et_al_2016_High_light_scatter_reticulocyte_count	2	0.996
region_chr11_94509094_95992877	Astle_et_al_2016_Reticulocyte_count	2	0.988
region_chr12_106564970_108632125	UKB_50_Standing_height	1	0.534
region_chr12_108632125_109898914	Astle_et_al_2016_Eosinophil_counts	4	0.685
region_chr12_108632125_109898914	Astle_et_al_2016_Monocyte_count	4	0.543
region_chr12_108632125_109898914	Astle_et_al_2016_Platelet_count	11	0.962
region_chr12_108632125_109898914	UKB_20002_1226_self_reported_hypothyroidism_or_myxoedema	2	0.732
region_chr12_109898914_112825713	UKB_20002_1226_self_reported_hypothyroidism_or_myxoedema	2	0.661
region_chr12_119316305_121569746	Astle_et_al_2016_Neutrophil_count	31	0.993
region_chr12_119316305_121569746	Astle_et_al_2016_Sum_basophil_neutrophil_counts	32	0.995
region_chr12_119316305_121569746	UKB_6152_8_diagnosed_by_doctor_Asthma	1	0.562
region_chr12_121569746_124493434	Astle_et_al_2016_Eosinophil_counts	3	0.593
region_chr12_121569746_124493434	Astle_et_al_2016_Granulocyte_count	2	0.536
region_chr12_121569746_124493434	UKB_50_Standing_height	1	0.515
region_chr12_12580594_15088550	Astle_et_al_2016_Red_blood_cell_count	3	0.888
region_chr12_12580594_15088550	EGG_BW3_EUR	2	0.726
region_chr12_25218149_27646840	Astle_et_al_2016_Platelet_count	1	0.579
region_chr12_25218149_27646840	Astle_et_al_2016_Reticulocyte_count	2	0.758
region_chr12_25218149_27646840	UKB_50_Standing_height	1	0.512
region_chr12_3567871_4308513	Astle_et_al_2016_Platelet_count	2	0.698
region_chr12_3567871_4308513	UKB_20022_Birth_weight	32	1
region_chr12_4308513_5212306	UKB_50_Standing_height	2	0.952
region_chr12_44631_971165	GIANT_HEIGHT	1	0.562
region_chr12_47321010_48608083	Astle_et_al_2016_White_blood_cell_count	3	0.994
region_chr12_47321010_48608083	UKB_20002_1065_self_reported_hypertension	3	0.999
region_chr12_48608083_51382710	UKB_6152_9_diagnosed_by_doctor_Hayfever_allergic_rhinitis_or_eczema	2	0.716
region_chr12_51382710_52645220	Astle_et_al_2016_White_blood_cell_count	9	0.988
region_chr12_5212306_6310587	Astle_et_al_2016_Platelet_count	4	0.583
region_chr12_52645220_54385039	GIANT_HEIGHT	18	0.72
region_chr12_52645220_54385039	UKB_20002_1065_self_reported_hypertension	1	0.703
region_chr12_55272053_57155077	Astle_et_al_2016_High_light_scatter_reticulocyte_count	2	0.653
region_chr12_55272053_57155077	UKB_20002_1265_self_reported_migraine	5	0.998
region_chr12_55272053_57155077	pgc.scz2	5	0.892
