region	phenotype	count	method
region_chr13_26710225_28683414	Astle_et_al_2016_White_blood_cell_count	1	smultixcan_eqtl
region_chr13_26710225_28683414	UKB_21001_Body_mass_index_BMI	2	smultixcan_eqtl
region_chr13_28683414_29909130	GIANT_HEIGHT	1	smultixcan_eqtl
region_chr13_28683414_29909130	UKB_50_Standing_height	1	smultixcan_eqtl
region_chr13_29909130_31727678	UKB_21001_Body_mass_index_BMI	1	smultixcan_eqtl
region_chr13_31727678_33202766	Astle_et_al_2016_Platelet_count	1	smultixcan_eqtl
region_chr13_36924048_38304026	UKB_1200_Sleeplessness_or_insomnia	1	smultixcan_eqtl
region_chr13_38304026_40495126	Astle_et_al_2016_Eosinophil_counts	2	smultixcan_eqtl
region_chr13_38304026_40495126	Astle_et_al_2016_Sum_eosinophil_basophil_counts	2	smultixcan_eqtl
region_chr13_38304026_40495126	UKB_50_Standing_height	4	smultixcan_eqtl
region_chr13_40495126_42526891	UKB_50_Standing_height	2	smultixcan_eqtl
region_chr13_45921079_46856944	GIANT_HEIGHT	1	smultixcan_eqtl
region_chr13_45921079_46856944	UKB_50_Standing_height	2	smultixcan_eqtl
region_chr13_48809826_51016955	Astle_et_al_2016_Monocyte_count	1	smultixcan_eqtl
region_chr13_48809826_51016955	Astle_et_al_2016_Neutrophil_count	1	smultixcan_eqtl
region_chr13_48809826_51016955	Astle_et_al_2016_Sum_basophil_neutrophil_counts	1	smultixcan_eqtl
region_chr13_48809826_51016955	GIANT_HEIGHT	10	smultixcan_eqtl
region_chr13_48809826_51016955	UKB_50_Standing_height	13	smultixcan_eqtl
region_chr13_52765487_54108729	UKB_21001_Body_mass_index_BMI	1	smultixcan_eqtl
region_chr13_56980083_57836492	UKB_23099_Body_fat_percentage	1	smultixcan_eqtl
region_chr13_70952659_73359952	UKB_50_Standing_height	3	smultixcan_eqtl
region_chr13_70952659_73359952	UKB_6152_9_diagnosed_by_doctor_Hayfever_allergic_rhinitis_or_eczema	2	smultixcan_eqtl
region_chr13_73359952_75096006	Astle_et_al_2016_Lymphocyte_counts	1	smultixcan_eqtl
region_chr13_75096006_76836420	Astle_et_al_2016_Red_blood_cell_count	3	smultixcan_eqtl
region_chr13_76836420_78234678	GIANT_HEIGHT	1	smultixcan_eqtl
region_chr13_76836420_78234678	UKB_1180_Morning_or_evening_person_chronotype	3	smultixcan_eqtl
region_chr13_76836420_78234678	UKB_50_Standing_height	1	smultixcan_eqtl
region_chr13_89869057_92477438	GIANT_HEIGHT	1	smultixcan_eqtl
region_chr13_89869057_92477438	UKB_50_Standing_height	1	smultixcan_eqtl
region_chr13_95435304_96866956	UKB_21001_Body_mass_index_BMI	1	smultixcan_eqtl
region_chr13_98286665_99921841	Astle_et_al_2016_Eosinophil_counts	4	smultixcan_eqtl
region_chr13_98286665_99921841	Astle_et_al_2016_Sum_eosinophil_basophil_counts	4	smultixcan_eqtl
region_chr13_98286665_99921841	SSGAC_Education_Years_Pooled	1	smultixcan_eqtl
region_chr13_98286665_99921841	UKB_23099_Body_fat_percentage	1	smultixcan_eqtl
region_chr13_98286665_99921841	UKB_6152_8_diagnosed_by_doctor_Asthma	5	smultixcan_eqtl
region_chr13_99921841_101648173	UKB_2395_3_Hair_or_balding_pattern_Pattern_3	1	smultixcan_eqtl
region_chr14_101067970_102545765	UKB_50_Standing_height	5	smultixcan_eqtl
region_chr14_102545765_104535386	Astle_et_al_2016_Lymphocyte_counts	6	smultixcan_eqtl
region_chr14_102545765_104535386	Astle_et_al_2016_Reticulocyte_count	2	smultixcan_eqtl
region_chr14_102545765_104535386	pgc.scz2	9	smultixcan_eqtl
region_chr14_104535386_105874495	UKB_20002_1226_self_reported_hypothyroidism_or_myxoedema	1	smultixcan_eqtl
region_chr14_18225607_21121243	UKB_50_Standing_height	2	smultixcan_eqtl
region_chr14_22549721_24435917	Astle_et_al_2016_High_light_scatter_reticulocyte_count	8	smultixcan_eqtl
region_chr14_22549721_24435917	Astle_et_al_2016_Reticulocyte_count	8	smultixcan_eqtl
region_chr14_22549721_24435917	GIANT_HEIGHT	13	smultixcan_eqtl
region_chr14_24435917_25666480	Astle_et_al_2016_Granulocyte_count	1	smultixcan_eqtl
region_chr14_24435917_25666480	Astle_et_al_2016_Monocyte_count	1	smultixcan_eqtl
region_chr14_24435917_25666480	Astle_et_al_2016_Myeloid_white_cell_count	1	smultixcan_eqtl
region_chr14_24435917_25666480	Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	1	smultixcan_eqtl
region_chr14_24435917_25666480	Astle_et_al_2016_White_blood_cell_count	1	smultixcan_eqtl
region_chr14_34377045_35390387	Astle_et_al_2016_High_light_scatter_reticulocyte_count	1	smultixcan_eqtl
region_chr14_34377045_35390387	Astle_et_al_2016_Lymphocyte_counts	4	smultixcan_eqtl
region_chr14_34377045_35390387	UKB_20002_1453_self_reported_psoriasis	2	smultixcan_eqtl
region_chr14_34377045_35390387	UKB_6152_9_diagnosed_by_doctor_Hayfever_allergic_rhinitis_or_eczema	3	smultixcan_eqtl
region_chr14_35390387_38198520	BCAC_ER_negative_BreastCancer_EUR	1	smultixcan_eqtl
region_chr14_35390387_38198520	BCAC_Overall_BreastCancer_EUR	1	smultixcan_eqtl
region_chr14_54766963_55750162	Astle_et_al_2016_Platelet_count	3	smultixcan_eqtl
region_chr14_54766963_55750162	UKB_50_Standing_height	2	smultixcan_eqtl
region_chr14_58981618_61213706	GIANT_HEIGHT	7	smultixcan_eqtl
region_chr14_58981618_61213706	UKB_2395_2_Hair_or_balding_pattern_Pattern_2	1	smultixcan_eqtl
region_chr14_58981618_61213706	UKB_50_Standing_height	7	smultixcan_eqtl
region_chr14_63323296_64753580	Astle_et_al_2016_Lymphocyte_counts	6	smultixcan_eqtl
region_chr14_63323296_64753580	Astle_et_al_2016_Red_blood_cell_count	1	smultixcan_eqtl
region_chr14_63323296_64753580	UKB_50_Standing_height	7	smultixcan_eqtl
region_chr14_64753580_65932837	Astle_et_al_2016_Platelet_count	2	smultixcan_eqtl
region_chr14_64753580_65932837	Astle_et_al_2016_Red_blood_cell_count	2	smultixcan_eqtl
region_chr14_64753580_65932837	GIANT_HEIGHT	2	smultixcan_eqtl
region_chr14_64753580_65932837	UKB_50_Standing_height	5	smultixcan_eqtl
region_chr14_67525600_70665240	Astle_et_al_2016_Platelet_count	4	smultixcan_eqtl
region_chr14_67525600_70665240	Astle_et_al_2016_Red_blood_cell_count	2	smultixcan_eqtl
region_chr14_67525600_70665240	GIANT_HEIGHT	2	smultixcan_eqtl
region_chr14_67525600_70665240	UKB_50_Standing_height	4	smultixcan_eqtl
region_chr14_72422907_75978424	Astle_et_al_2016_Eosinophil_counts	1	smultixcan_eqtl
region_chr14_72422907_75978424	GIANT_HEIGHT	12	smultixcan_eqtl
region_chr14_72422907_75978424	UKB_20127_Neuroticism_score	8	smultixcan_eqtl
region_chr14_76763129_78095602	Astle_et_al_2016_Myeloid_white_cell_count	5	smultixcan_eqtl
region_chr14_76763129_78095602	Astle_et_al_2016_White_blood_cell_count	5	smultixcan_eqtl
region_chr14_79720236_81113370	UKB_20002_1225_self_reported_hyperthyroidism_or_thyrotoxicosis	2	smultixcan_eqtl
region_chr14_90830516_92665954	Astle_et_al_2016_Granulocyte_count	1	smultixcan_eqtl
region_chr14_90830516_92665954	Astle_et_al_2016_Myeloid_white_cell_count	1	smultixcan_eqtl
region_chr14_90830516_92665954	Astle_et_al_2016_Sum_basophil_neutrophil_counts	1	smultixcan_eqtl
region_chr14_90830516_92665954	Astle_et_al_2016_Sum_eosinophil_basophil_counts	1	smultixcan_eqtl
region_chr14_90830516_92665954	Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	1	smultixcan_eqtl
region_chr14_90830516_92665954	Astle_et_al_2016_White_blood_cell_count	1	smultixcan_eqtl
region_chr14_90830516_92665954	BCAC_ER_negative_BreastCancer_EUR	1	smultixcan_eqtl
region_chr14_92665954_93858939	UKB_21001_Body_mass_index_BMI	3	smultixcan_eqtl
region_chr14_93858939_95284530	UKB_50_Standing_height	2	smultixcan_eqtl
region_chr14_98672195_101067970	Astle_et_al_2016_Platelet_count	5	smultixcan_eqtl
region_chr14_98672195_101067970	UKB_1180_Morning_or_evening_person_chronotype	1	smultixcan_eqtl
region_chr15_100096642_101012489	GIANT_HEIGHT	2	smultixcan_eqtl
region_chr15_100096642_101012489	UKB_50_Standing_height	3	smultixcan_eqtl
region_chr15_101012489_101980763	Astle_et_al_2016_Neutrophil_count	1	smultixcan_eqtl
region_chr15_101012489_101980763	Astle_et_al_2016_Sum_basophil_neutrophil_counts	1	smultixcan_eqtl
region_chr15_101012489_101980763	Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	1	smultixcan_eqtl
region_chr15_101012489_101980763	GIANT_HEIGHT	1	smultixcan_eqtl
region_chr15_37164301_38238576	UKB_50_Standing_height	1	smultixcan_eqtl
region_chr15_40091931_40885316	UKB_50_Standing_height	4	smultixcan_eqtl
region_chr15_40885316_42484201	Astle_et_al_2016_Granulocyte_count	11	smultixcan_eqtl
region_chr15_40885316_42484201	Astle_et_al_2016_Myeloid_white_cell_count	10	smultixcan_eqtl
region_chr15_40885316_42484201	Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	11	smultixcan_eqtl
region_chr15_40885316_42484201	Astle_et_al_2016_White_blood_cell_count	6	smultixcan_eqtl
region_chr15_40885316_42484201	UKB_50_Standing_height	8	smultixcan_eqtl
region_chr15_40885316_42484201	UKB_6152_9_diagnosed_by_doctor_Hayfever_allergic_rhinitis_or_eczema	6	smultixcan_eqtl
region_chr15_42484201_43905851	Astle_et_al_2016_Platelet_count	5	smultixcan_eqtl
region_chr15_46326589_47843851	PGC_ADHD_EUR_2017	1	smultixcan_eqtl
region_chr15_46326589_47843851	SSGAC_Education_Years_Pooled	1	smultixcan_eqtl
region_chr15_47843851_49715846	GIANT_HEIGHT	1	smultixcan_eqtl
region_chr15_49715846_51385363	Astle_et_al_2016_Myeloid_white_cell_count	2	smultixcan_eqtl
region_chr15_58149167_59401917	MAGNETIC_HDL.C	3	smultixcan_eqtl
region_chr15_58149167_59401917	MAGNETIC_IDL.TG	2	smultixcan_eqtl
region_chr15_60973637_62923023	Astle_et_al_2016_High_light_scatter_reticulocyte_count	1	smultixcan_eqtl
region_chr15_60973637_62923023	GIANT_HEIGHT	1	smultixcan_eqtl
region_chr15_62923023_64812469	Astle_et_al_2016_Granulocyte_count	1	smultixcan_eqtl
region_chr15_62923023_64812469	Astle_et_al_2016_Neutrophil_count	1	smultixcan_eqtl
region_chr15_62923023_64812469	Astle_et_al_2016_Platelet_count	2	smultixcan_eqtl
region_chr15_62923023_64812469	Astle_et_al_2016_Sum_basophil_neutrophil_counts	1	smultixcan_eqtl
region_chr15_62923023_64812469	Astle_et_al_2016_White_blood_cell_count	4	smultixcan_eqtl
region_chr15_62923023_64812469	UKB_50_Standing_height	2	smultixcan_eqtl
region_chr15_64812469_66802429	Astle_et_al_2016_Platelet_count	3	smultixcan_eqtl
region_chr15_64812469_66802429	GIANT_HEIGHT	2	smultixcan_eqtl
region_chr15_64812469_66802429	UKB_21001_Body_mass_index_BMI	3	smultixcan_eqtl
region_chr15_64812469_66802429	UKB_50_Standing_height	7	smultixcan_eqtl
region_chr15_66802429_68725660	Astle_et_al_2016_Sum_eosinophil_basophil_counts	1	smultixcan_eqtl
region_chr15_66802429_68725660	IBD.EUR.Crohns_Disease	1	smultixcan_eqtl
region_chr15_66802429_68725660	UKB_23099_Body_fat_percentage	11	smultixcan_eqtl
region_chr15_66802429_68725660	UKB_6152_8_diagnosed_by_doctor_Asthma	3	smultixcan_eqtl
region_chr15_66802429_68725660	UKB_6152_9_diagnosed_by_doctor_Hayfever_allergic_rhinitis_or_eczema	2	smultixcan_eqtl
region_chr15_68725660_69841002	UKB_50_Standing_height	1	smultixcan_eqtl
region_chr15_71630310_73336373	GIANT_HEIGHT	3	smultixcan_eqtl
region_chr15_71630310_73336373	UKB_50_Standing_height	10	smultixcan_eqtl
region_chr15_73336373_76106283	Astle_et_al_2016_Red_blood_cell_count	20	smultixcan_eqtl
region_chr15_73336373_76106283	UKB_20002_1065_self_reported_hypertension	18	smultixcan_eqtl
region_chr15_73336373_76106283	UKB_50_Standing_height	36	smultixcan_eqtl
region_chr15_76106283_78223711	Astle_et_al_2016_Red_blood_cell_count	4	smultixcan_eqtl
region_chr15_76106283_78223711	GIANT_HEIGHT	5	smultixcan_eqtl
region_chr15_76106283_78223711	UKB_50_Standing_height	11	smultixcan_eqtl
region_chr15_78223711_80568637	Astle_et_al_2016_Eosinophil_counts	3	smultixcan_eqtl
region_chr15_78223711_80568637	Astle_et_al_2016_Red_blood_cell_count	3	smultixcan_eqtl
region_chr15_78223711_80568637	Astle_et_al_2016_Reticulocyte_count	4	smultixcan_eqtl
region_chr15_78223711_80568637	UKB_1807_Fathers_age_at_death	2	smultixcan_eqtl
region_chr15_80568637_83591716	UKB_21001_Body_mass_index_BMI	2	smultixcan_eqtl
region_chr15_80568637_83591716	UKB_23099_Body_fat_percentage	5	smultixcan_eqtl
region_chr15_80568637_83591716	UKB_50_Standing_height	7	smultixcan_eqtl
region_chr15_83591716_86109674	GIANT_HEIGHT	10	smultixcan_eqtl
region_chr15_89932319_91621162	Astle_et_al_2016_Platelet_count	2	smultixcan_eqtl
region_chr15_89932319_91621162	Astle_et_al_2016_Sum_eosinophil_basophil_counts	2	smultixcan_eqtl
region_chr15_89932319_91621162	UKB_20002_1466_self_reported_gout	1	smultixcan_eqtl
region_chr15_89932319_91621162	UKB_2395_4_Hair_or_balding_pattern_Pattern_4	3	smultixcan_eqtl
region_chr15_89932319_91621162	UKB_50_Standing_height	8	smultixcan_eqtl
region_chr15_89932319_91621162	UKB_6152_9_diagnosed_by_doctor_Hayfever_allergic_rhinitis_or_eczema	3	smultixcan_eqtl
region_chr15_97487680_98700830	UKB_50_Standing_height	1	smultixcan_eqtl
region_chr15_98700830_100096642	GIANT_HEIGHT	4	smultixcan_eqtl
region_chr16_10054_1157206	Astle_et_al_2016_Platelet_count	3	smultixcan_eqtl
region_chr16_10054_1157206	GIANT_HEIGHT	21	smultixcan_eqtl
region_chr16_10054_1157206	UKB_23099_Body_fat_percentage	5	smultixcan_eqtl
region_chr16_10054_1157206	UKB_50_Standing_height	39	smultixcan_eqtl
region_chr16_10332175_11426305	Astle_et_al_2016_Sum_eosinophil_basophil_counts	5	smultixcan_eqtl
region_chr16_10332175_11426305	UKB_20002_1452_self_reported_eczema_or_dermatitis	1	smultixcan_eqtl
region_chr16_10332175_11426305	UKB_6152_8_diagnosed_by_doctor_Asthma	4	smultixcan_eqtl
region_chr16_1157206_2714828	GIANT_HEIGHT	18	smultixcan_eqtl
region_chr16_13060580_14370145	UKB_50_Standing_height	2	smultixcan_eqtl
region_chr16_18632285_20139249	UKB_21001_Body_mass_index_BMI	4	smultixcan_eqtl
region_chr16_24125554_25975541	UKB_21001_Body_mass_index_BMI	2	smultixcan_eqtl
region_chr16_24125554_25975541	UKB_50_Standing_height	2	smultixcan_eqtl
region_chr16_25975541_27434434	Astle_et_al_2016_Eosinophil_counts	1	smultixcan_eqtl
region_chr16_25975541_27434434	Astle_et_al_2016_Sum_eosinophil_basophil_counts	1	smultixcan_eqtl
region_chr16_2714828_3951195	Astle_et_al_2016_Eosinophil_counts	3	smultixcan_eqtl
region_chr16_2714828_3951195	UKB_21001_Body_mass_index_BMI	3	smultixcan_eqtl
region_chr16_27434434_29025292	Astle_et_al_2016_Platelet_count	12	smultixcan_eqtl
region_chr16_27434434_29025292	Astle_et_al_2016_Red_blood_cell_count	18	smultixcan_eqtl
region_chr16_27434434_29025292	IBD.EUR.Crohns_Disease	16	smultixcan_eqtl
region_chr16_27434434_29025292	IBD.EUR.Inflammatory_Bowel_Disease	15	smultixcan_eqtl
region_chr16_27434434_29025292	UKB_20016_Fluid_intelligence_score	22	smultixcan_eqtl
region_chr16_29025292_31371622	Astle_et_al_2016_Eosinophil_counts	42	smultixcan_eqtl
region_chr16_29025292_31371622	Astle_et_al_2016_Lymphocyte_counts	59	smultixcan_eqtl
region_chr16_29025292_31371622	Astle_et_al_2016_Myeloid_white_cell_count	3	smultixcan_eqtl
region_chr16_29025292_31371622	UKB_21001_Body_mass_index_BMI	70	smultixcan_eqtl
region_chr16_29025292_31371622	UKB_50_Standing_height	29	smultixcan_eqtl
region_chr16_34586599_48974015	Astle_et_al_2016_Eosinophil_counts	1	smultixcan_eqtl
region_chr16_34586599_48974015	Astle_et_al_2016_Sum_eosinophil_basophil_counts	1	smultixcan_eqtl
region_chr16_3951195_5068344	UKB_21001_Body_mass_index_BMI	2	smultixcan_eqtl
region_chr16_48974015_52001911	IBD.EUR.Crohns_Disease	9	smultixcan_eqtl
region_chr16_48974015_52001911	UKB_20002_1462_self_reported_crohns_disease	2	smultixcan_eqtl
region_chr16_52001911_53348660	BCAC_ER_negative_BreastCancer_EUR	1	smultixcan_eqtl
region_chr16_52001911_53348660	BCAC_Overall_BreastCancer_EUR	1	smultixcan_eqtl
region_chr16_53348660_55869862	UKB_20016_Fluid_intelligence_score	1	smultixcan_eqtl
region_chr16_53348660_55869862	UKB_21001_Body_mass_index_BMI	6	smultixcan_eqtl
region_chr16_55869862_57630418	UKB_1160_Sleep_duration	1	smultixcan_eqtl
region_chr16_55869862_57630418	UKB_1180_Morning_or_evening_person_chronotype	1	smultixcan_eqtl
region_chr16_65904663_68807460	Astle_et_al_2016_High_light_scatter_reticulocyte_count	9	smultixcan_eqtl
region_chr16_65904663_68807460	Astle_et_al_2016_Reticulocyte_count	9	smultixcan_eqtl
region_chr16_65904663_68807460	GIANT_HEIGHT	11	smultixcan_eqtl
region_chr16_68807460_71020125	UKB_23099_Body_fat_percentage	15	smultixcan_eqtl
region_chr16_68807460_71020125	UKB_50_Standing_height	23	smultixcan_eqtl
region_chr16_71020125_72901251	GIANT_HEIGHT	2	smultixcan_eqtl
region_chr16_71020125_72901251	UKB_1180_Morning_or_evening_person_chronotype	7	smultixcan_eqtl
region_chr16_71020125_72901251	UKB_20002_1473_self_reported_high_cholesterol	12	smultixcan_eqtl
region_chr16_72901251_74937605	UKB_50_Standing_height	1	smultixcan_eqtl
region_chr16_74937605_75944056	GIANT_HEIGHT	3	smultixcan_eqtl
region_chr16_80263477_81738931	UKB_20002_1065_self_reported_hypertension	1	smultixcan_eqtl
region_chr16_81738931_82714123	GIANT_HEIGHT	1	smultixcan_eqtl
region_chr16_8288517_9705562	UKB_21001_Body_mass_index_BMI	1	smultixcan_eqtl
region_chr16_8288517_9705562	UKB_50_Standing_height	1	smultixcan_eqtl
region_chr16_84412277_85115079	Astle_et_al_2016_Sum_basophil_neutrophil_counts	1	smultixcan_eqtl
region_chr16_84412277_85115079	Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	1	smultixcan_eqtl
region_chr16_84412277_85115079	Astle_et_al_2016_White_blood_cell_count	1	smultixcan_eqtl
region_chr16_85115079_86122993	Astle_et_al_2016_Eosinophil_counts	3	smultixcan_eqtl
region_chr16_85115079_86122993	Astle_et_al_2016_Granulocyte_count	1	smultixcan_eqtl
region_chr16_85115079_86122993	Astle_et_al_2016_Monocyte_count	5	smultixcan_eqtl
region_chr16_85115079_86122993	Astle_et_al_2016_Sum_eosinophil_basophil_counts	2	smultixcan_eqtl
region_chr16_85115079_86122993	Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	1	smultixcan_eqtl
region_chr16_87613743_88974757	Astle_et_al_2016_Platelet_count	3	smultixcan_eqtl
region_chr16_87613743_88974757	Astle_et_al_2016_Reticulocyte_count	6	smultixcan_eqtl
region_chr16_88974757_90226404	Astle_et_al_2016_High_light_scatter_reticulocyte_count	13	smultixcan_eqtl
region_chr16_88974757_90226404	GIANT_HEIGHT	11	smultixcan_eqtl
region_chr16_88974757_90226404	UKB_23099_Body_fat_percentage	6	smultixcan_eqtl
region_chr16_88974757_90226404	UKB_50_Standing_height	21	smultixcan_eqtl
region_chr17_1269105_2025437	Astle_et_al_2016_Myeloid_white_cell_count	1	smultixcan_eqtl
region_chr17_1269105_2025437	UKB_23099_Body_fat_percentage	1	smultixcan_eqtl
region_chr17_15115780_16509028	Astle_et_al_2016_Granulocyte_count	8	smultixcan_eqtl
region_chr17_15115780_16509028	Astle_et_al_2016_Neutrophil_count	8	smultixcan_eqtl
region_chr17_15115780_16509028	Astle_et_al_2016_Sum_basophil_neutrophil_counts	8	smultixcan_eqtl
region_chr17_15115780_16509028	Astle_et_al_2016_White_blood_cell_count	6	smultixcan_eqtl
region_chr17_16509028_18953007	Astle_et_al_2016_Lymphocyte_counts	8	smultixcan_eqtl
region_chr17_16509028_18953007	UKB_50_Standing_height	17	smultixcan_eqtl
region_chr17_18953007_21387045	Astle_et_al_2016_High_light_scatter_reticulocyte_count	4	smultixcan_eqtl
region_chr17_18953007_21387045	Astle_et_al_2016_Platelet_count	3	smultixcan_eqtl
region_chr17_18953007_21387045	Astle_et_al_2016_Reticulocyte_count	3	smultixcan_eqtl
region_chr17_18953007_21387045	GIANT_HEIGHT	1	smultixcan_eqtl
region_chr17_2025437_3799018	Astle_et_al_2016_Platelet_count	5	smultixcan_eqtl
region_chr17_2025437_3799018	Astle_et_al_2016_White_blood_cell_count	1	smultixcan_eqtl
region_chr17_2025437_3799018	UKB_20127_Neuroticism_score	1	smultixcan_eqtl
region_chr17_21387045_29007226	Astle_et_al_2016_High_light_scatter_reticulocyte_count	17	smultixcan_eqtl
region_chr17_21387045_29007226	Astle_et_al_2016_Monocyte_count	4	smultixcan_eqtl
region_chr17_21387045_29007226	Astle_et_al_2016_Reticulocyte_count	5	smultixcan_eqtl
region_chr17_21387045_29007226	UKB_20022_Birth_weight	1	smultixcan_eqtl
region_chr17_21387045_29007226	UKB_50_Standing_height	5	smultixcan_eqtl
region_chr17_29007226_31459473	UKB_23099_Body_fat_percentage	9	smultixcan_eqtl
region_chr17_31459473_33211407	Astle_et_al_2016_High_light_scatter_reticulocyte_count	3	smultixcan_eqtl
region_chr17_31459473_33211407	GIANT_HEIGHT	6	smultixcan_eqtl
region_chr17_31459473_33211407	UKB_50_Standing_height	7	smultixcan_eqtl
region_chr17_34585779_36141651	Astle_et_al_2016_High_light_scatter_reticulocyte_count	13	smultixcan_eqtl
region_chr17_34585779_36141651	Astle_et_al_2016_Platelet_count	8	smultixcan_eqtl
region_chr17_34585779_36141651	Astle_et_al_2016_Reticulocyte_count	22	smultixcan_eqtl
region_chr17_36141651_38653091	Astle_et_al_2016_Granulocyte_count	1	smultixcan_eqtl
region_chr17_36141651_38653091	Astle_et_al_2016_Platelet_count	5	smultixcan_eqtl
region_chr17_36141651_38653091	Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	1	smultixcan_eqtl
region_chr17_36141651_38653091	UKB_21001_Body_mass_index_BMI	6	smultixcan_eqtl
region_chr17_3799018_4792966	Astle_et_al_2016_Eosinophil_counts	2	smultixcan_eqtl
region_chr17_3799018_4792966	Astle_et_al_2016_Lymphocyte_counts	6	smultixcan_eqtl
region_chr17_38653091_40721152	Astle_et_al_2016_Eosinophil_counts	1	smultixcan_eqtl
region_chr17_38653091_40721152	Astle_et_al_2016_Red_blood_cell_count	9	smultixcan_eqtl
region_chr17_38653091_40721152	Astle_et_al_2016_Sum_basophil_neutrophil_counts	39	smultixcan_eqtl
region_chr17_38653091_40721152	Astle_et_al_2016_Sum_eosinophil_basophil_counts	8	smultixcan_eqtl
region_chr17_38653091_40721152	IBD.EUR.Crohns_Disease	3	smultixcan_eqtl
region_chr17_38653091_40721152	IBD.EUR.Inflammatory_Bowel_Disease	16	smultixcan_eqtl
region_chr17_38653091_40721152	UKB_20002_1111_self_reported_asthma	34	smultixcan_eqtl
region_chr17_38653091_40721152	UKB_6152_9_diagnosed_by_doctor_Hayfever_allergic_rhinitis_or_eczema	28	smultixcan_eqtl
region_chr17_40721152_41743558	UKB_6152_9_diagnosed_by_doctor_Hayfever_allergic_rhinitis_or_eczema	5	smultixcan_eqtl
region_chr17_41743558_43694719	Astle_et_al_2016_Reticulocyte_count	8	smultixcan_eqtl
region_chr17_41743558_43694719	GIANT_HEIGHT	16	smultixcan_eqtl
region_chr17_41743558_43694719	IBD.EUR.Inflammatory_Bowel_Disease	9	smultixcan_eqtl
region_chr17_41743558_43694719	UKB_20002_1226_self_reported_hypothyroidism_or_myxoedema	2	smultixcan_eqtl
region_chr17_43694719_44979537	UKB_50_Standing_height	19	smultixcan_eqtl
region_chr17_44979537_47798656	Astle_et_al_2016_Neutrophil_count	5	smultixcan_eqtl
region_chr17_44979537_47798656	Astle_et_al_2016_Sum_eosinophil_basophil_counts	14	smultixcan_eqtl
region_chr17_44979537_47798656	ENIGMA_Intracraneal_Volume	4	smultixcan_eqtl
region_chr17_44979537_47798656	UKB_1200_Sleeplessness_or_insomnia	4	smultixcan_eqtl
region_chr17_44979537_47798656	UKB_20002_1226_self_reported_hypothyroidism_or_myxoedema	3	smultixcan_eqtl
region_chr17_44979537_47798656	UKB_20127_Neuroticism_score	16	smultixcan_eqtl
region_chr17_44979537_47798656	UKB_2395_2_Hair_or_balding_pattern_Pattern_2	3	smultixcan_eqtl
region_chr17_44979537_47798656	UKB_2395_3_Hair_or_balding_pattern_Pattern_3	17	smultixcan_eqtl
region_chr17_44979537_47798656	UKB_50_Standing_height	29	smultixcan_eqtl
region_chr17_47798656_49440038	Astle_et_al_2016_Sum_eosinophil_basophil_counts	4	smultixcan_eqtl
region_chr17_47798656_49440038	GIANT_HEIGHT	28	smultixcan_eqtl
region_chr17_47798656_49440038	UKB_20002_1065_self_reported_hypertension	14	smultixcan_eqtl
region_chr17_47798656_49440038	UKB_21001_Body_mass_index_BMI	17	smultixcan_eqtl
region_chr17_47798656_49440038	UKB_23099_Body_fat_percentage	13	smultixcan_eqtl
region_chr17_4792966_5838014	Astle_et_al_2016_White_blood_cell_count	8	smultixcan_eqtl
region_chr17_53748757_55522071	BCAC_ER_negative_BreastCancer_EUR	3	smultixcan_eqtl
region_chr17_53748757_55522071	BCAC_Overall_BreastCancer_EUR	2	smultixcan_eqtl
region_chr17_55522071_57280180	UKB_2395_4_Hair_or_balding_pattern_Pattern_4	3	smultixcan_eqtl
region_chr17_57280180_59410151	Astle_et_al_2016_Granulocyte_count	4	smultixcan_eqtl
region_chr17_57280180_59410151	Astle_et_al_2016_Myeloid_white_cell_count	4	smultixcan_eqtl
region_chr17_57280180_59410151	Astle_et_al_2016_Sum_basophil_neutrophil_counts	4	smultixcan_eqtl
region_chr17_57280180_59410151	Astle_et_al_2016_White_blood_cell_count	4	smultixcan_eqtl
region_chr17_57280180_59410151	UKB_20016_Fluid_intelligence_score	3	smultixcan_eqtl
region_chr17_5838014_7414079	EGG_BW3_EUR	7	smultixcan_eqtl
region_chr17_5838014_7414079	UKB_20002_1226_self_reported_hypothyroidism_or_myxoedema	1	smultixcan_eqtl
region_chr17_59410151_61235394	Astle_et_al_2016_Monocyte_count	10	smultixcan_eqtl
region_chr17_59410151_61235394	Astle_et_al_2016_White_blood_cell_count	7	smultixcan_eqtl
region_chr17_61235394_63468228	Astle_et_al_2016_Red_blood_cell_count	1	smultixcan_eqtl
region_chr17_61235394_63468228	GIANT_HEIGHT	5	smultixcan_eqtl
region_chr17_65152010_66804312	UKB_2395_4_Hair_or_balding_pattern_Pattern_4	2	smultixcan_eqtl
region_chr17_66804312_69862629	Astle_et_al_2016_Eosinophil_counts	8	smultixcan_eqtl
region_chr17_66804312_69862629	GIANT_HEIGHT	8	smultixcan_eqtl
region_chr17_66804312_69862629	UKB_21001_Body_mass_index_BMI	5	smultixcan_eqtl
region_chr17_66804312_69862629	UKB_50_Standing_height	9	smultixcan_eqtl
