phenotype	gene	gene_name	pvalue	rcp
Astle_et_al_2016_Neutrophil_count	ENSG00000155893.12	PXYLP1	2.52253858314402e-11	0.768
Astle_et_al_2016_Neutrophil_count	ENSG00000165689.16	SDCCAG3	2.54957571320447e-11	0.586
Astle_et_al_2016_Neutrophil_count	ENSG00000163464.7	CXCR1	3.83913389656044e-11	1
Astle_et_al_2016_Neutrophil_count	ENSG00000134058.11	CDK7	4.91207734897019e-11	0.693
Astle_et_al_2016_Neutrophil_count	ENSG00000085491.15	SLC25A24	6.49029262798424e-11	0.972
Astle_et_al_2016_Neutrophil_count	ENSG00000063176.15	SPHK2	9.91084846916623e-11	0.914
Astle_et_al_2016_Neutrophil_count	ENSG00000153044.9	CENPH	1.05070417527308e-10	0.705
Astle_et_al_2016_Neutrophil_count	ENSG00000163635.17	ATXN7	1.19188757389417e-10	0.815
Astle_et_al_2016_Neutrophil_count	ENSG00000072694.20	FCGR2B	1.26323925558923e-10	0.823
Astle_et_al_2016_Neutrophil_count	ENSG00000163050.16	COQ8A	1.3278100542127e-10	0.758
Astle_et_al_2016_Neutrophil_count	ENSG00000063180.8	CA11	1.39877890576125e-10	0.96
Astle_et_al_2016_Neutrophil_count	ENSG00000100583.4	SAMD15	1.67440247628838e-10	0.851
Astle_et_al_2016_Neutrophil_count	ENSG00000100580.7	TMED8	1.728592540759e-10	0.841
Astle_et_al_2016_Neutrophil_count	ENSG00000124788.17	ATXN1	1.84346469745633e-10	0.968
Astle_et_al_2016_Neutrophil_count	ENSG00000267534.2	S1PR2	1.88354415885076e-10	0.797
Astle_et_al_2016_Neutrophil_count	ENSG00000132321.16	IQCA1	2.27168567651377e-10	0.769
Astle_et_al_2016_Neutrophil_count	ENSG00000134056.11	MRPS36	2.45149172859512e-10	0.531
Astle_et_al_2016_Neutrophil_count	ENSG00000144476.5	ACKR3	2.81754292374061e-10	0.842
Astle_et_al_2016_Neutrophil_count	ENSG00000169194.9	IL13	3.52312257794475e-10	0.538
Astle_et_al_2016_Neutrophil_count	ENSG00000161013.16	MGAT4B	4.96447582759181e-10	0.606
Astle_et_al_2016_Neutrophil_count	ENSG00000175489.9	LRRC25	7.76078801004323e-10	0.965
Astle_et_al_2016_Neutrophil_count	ENSG00000104938.16	CLEC4M	7.85388886698699e-10	0.923
Astle_et_al_2016_Neutrophil_count	ENSG00000267337.1	LINC01478	8.23526556872637e-10	0.827
Astle_et_al_2016_Neutrophil_count	ENSG00000141452.9	C18orf8	1.29180271351589e-09	0.843
Astle_et_al_2016_Neutrophil_count	ENSG00000197362.14	ZNF786	1.31490134485665e-09	0.642
Astle_et_al_2016_Neutrophil_count	ENSG00000186086.18	NBPF6	1.49715825978025e-09	0.731
Astle_et_al_2016_Neutrophil_count	ENSG00000147852.15	VLDLR	2.1340160417772e-09	0.636
Astle_et_al_2016_Neutrophil_count	ENSG00000134824.13	FADS2	2.54574294462095e-09	0.739
Astle_et_al_2016_Neutrophil_count	ENSG00000168769.13	TET2	2.61660937914602e-09	0.657
Astle_et_al_2016_Neutrophil_count	ENSG00000175164.13	ABO	3.40253935994444e-09	0.926
Astle_et_al_2016_Neutrophil_count	ENSG00000165555.9	NOXRED1	3.59351033347491e-09	0.692
Astle_et_al_2016_Neutrophil_count	ENSG00000143771.11	CNIH4	3.64755678937861e-09	0.616
Astle_et_al_2016_Neutrophil_count	ENSG00000064666.14	CNN2	3.73350800487229e-09	0.516
Astle_et_al_2016_Neutrophil_count	ENSG00000168496.3	FEN1	4.55775653525517e-09	0.588
Astle_et_al_2016_Neutrophil_count	ENSG00000152242.10	C18orf25	5.01387213506852e-09	0.731
Astle_et_al_2016_Neutrophil_count	ENSG00000254087.7	LYN	6.59758699786824e-09	0.894
Astle_et_al_2016_Neutrophil_count	ENSG00000251259.1	AC004069.2	8.58984609895844e-09	0.947
Astle_et_al_2016_Neutrophil_count	ENSG00000197208.5	SLC22A4	8.93081853476968e-09	0.871
Astle_et_al_2016_Neutrophil_count	ENSG00000188452.13	CERKL	9.26062848362801e-09	0.965
Astle_et_al_2016_Neutrophil_count	ENSG00000103187.7	COTL1	9.53624209258786e-09	0.962
Astle_et_al_2016_Neutrophil_count	ENSG00000275832.4	ARHGAP23	9.95234763872683e-09	0.668
Astle_et_al_2016_Neutrophil_count	ENSG00000136144.11	RCBTB1	1.0531412279369e-08	0.926
Astle_et_al_2016_Neutrophil_count	ENSG00000090382.6	LYZ	1.42520346194001e-08	0.998
Astle_et_al_2016_Neutrophil_count	ENSG00000169118.17	CSNK1G1	1.58861482471059e-08	0.85
Astle_et_al_2016_Neutrophil_count	ENSG00000132510.10	KDM6B	1.66174808122362e-08	0.987
Astle_et_al_2016_Neutrophil_count	ENSG00000253641.5	LINCR-0001	1.74057683838672e-08	0.681
Astle_et_al_2016_Neutrophil_count	ENSG00000162511.7	LAPTM5	1.91528889010932e-08	0.845
Astle_et_al_2016_Neutrophil_count	ENSG00000063177.12	RPL18	2.4407726494031e-08	0.711
Astle_et_al_2016_Neutrophil_count	ENSG00000184988.8	TMEM106A	2.74801760556948e-08	0.707
Astle_et_al_2016_Neutrophil_count	ENSG00000274979.1	RP11-1143G9.5	2.77713940188371e-08	0.994
Astle_et_al_2016_Neutrophil_count	ENSG00000234255.8	AC012370.3	2.84130169355394e-08	0.647
Astle_et_al_2016_Neutrophil_count	ENSG00000273142.1	RP11-458F8.4	2.87024673366971e-08	0.712
Astle_et_al_2016_Neutrophil_count	ENSG00000123636.17	BAZ2B	3.18069270518841e-08	0.706
Astle_et_al_2016_Neutrophil_count	ENSG00000180432.5	CYP8B1	3.31531525135196e-08	0.729
Astle_et_al_2016_Neutrophil_count	ENSG00000170265.11	ZNF282	4.05115570597456e-08	0.512
Astle_et_al_2016_Neutrophil_count	ENSG00000141458.12	NPC1	5.95971599594266e-08	0.693
Astle_et_al_2016_Neutrophil_count	ENSG00000186453.12	FAM228A	6.14627597678959e-08	0.54
Astle_et_al_2016_Neutrophil_count	ENSG00000170180.19	GYPA	6.82600029702374e-08	0.51
Astle_et_al_2016_Neutrophil_count	ENSG00000173535.13	TNFRSF10C	7.26147414329483e-08	0.945
Astle_et_al_2016_Neutrophil_count	ENSG00000283031.1	RP11-557N21.1	8.18088461765338e-08	0.519
Astle_et_al_2016_Neutrophil_count	ENSG00000139567.12	ACVRL1	8.23164881290335e-08	0.959
Astle_et_al_2016_Neutrophil_count	ENSG00000136205.16	TNS3	9.68765744317027e-08	0.935
Astle_et_al_2016_Neutrophil_count	ENSG00000198369.9	SPRED2	1.05464654903839e-07	0.876
Astle_et_al_2016_Neutrophil_count	ENSG00000243509.4	TNFRSF6B	1.06004536023897e-07	0.524
Astle_et_al_2016_Neutrophil_count	ENSG00000111252.10	SH2B3	1.08029719860129e-07	0.501
Astle_et_al_2016_Neutrophil_count	ENSG00000065029.14	ZNF76	1.53322162941089e-07	0.745
Astle_et_al_2016_Neutrophil_count	ENSG00000167193.7	CRK	1.56350594128643e-07	0.832
Astle_et_al_2016_Neutrophil_count	ENSG00000143786.7	CNIH3	1.62332738468727e-07	0.653
Astle_et_al_2016_Neutrophil_count	ENSG00000024048.10	UBR2	2.17097273048972e-07	0.561
Astle_et_al_2016_Neutrophil_count	ENSG00000258366.7	RTEL1	2.67152282081705e-07	0.914
Astle_et_al_2016_Neutrophil_count	ENSG00000232956.8	SNHG15	2.88776080319252e-07	0.547
Astle_et_al_2016_Neutrophil_count	ENSG00000127337.6	YEATS4	2.97666962793105e-07	0.775
Astle_et_al_2016_Neutrophil_count	ENSG00000136630.12	HLX	3.01892123156286e-07	0.559
Astle_et_al_2016_Neutrophil_count	ENSG00000157557.11	ETS2	3.08151805050578e-07	0.955
Astle_et_al_2016_Neutrophil_count	ENSG00000182087.12	TMEM259	3.09427121650799e-07	0.95
Astle_et_al_2016_Neutrophil_count	ENSG00000111725.10	PRKAB1	3.38246877690308e-07	0.993
Astle_et_al_2016_Neutrophil_count	ENSG00000227533.5	SLC2A1-AS1	3.41370939144108e-07	0.711
Astle_et_al_2016_Neutrophil_count	ENSG00000198089.15	SFI1	3.5083873950193e-07	0.584
Astle_et_al_2016_Neutrophil_count	ENSG00000115232.13	ITGA4	3.95737863573035e-07	0.966
Astle_et_al_2016_Neutrophil_count	ENSG00000173013.5	CCDC96	4.066210192608e-07	0.751
Astle_et_al_2016_Neutrophil_count	ENSG00000130816.14	DNMT1	4.23628202018706e-07	0.882
Astle_et_al_2016_Neutrophil_count	ENSG00000186074.18	CD300LF	4.43440309880788e-07	0.928
Astle_et_al_2016_Neutrophil_count	ENSG00000029725.16	RABEP1	4.63673797712546e-07	0.618
Astle_et_al_2016_Neutrophil_count	ENSG00000182511.11	FES	5.13760354075489e-07	0.769
Astle_et_al_2016_Neutrophil_count	ENSG00000072818.11	ACAP1	5.41823059278902e-07	0.984
Astle_et_al_2016_Neutrophil_count	ENSG00000204634.12	TBC1D8	7.24487729651697e-07	0.614
Astle_et_al_2016_Neutrophil_count	ENSG00000112773.15	FAM46A	7.68781643477172e-07	0.754
Astle_et_al_2016_Neutrophil_count	ENSG00000197024.8	ZNF398	8.38376431644774e-07	0.636
Astle_et_al_2016_Neutrophil_count	ENSG00000163634.11	THOC7	9.72328439687156e-07	0.913
Astle_et_al_2016_Neutrophil_count	ENSG00000213918.10	DNASE1	1.1985758266666e-06	0.531
Astle_et_al_2016_Neutrophil_count	ENSG00000180871.7	CXCR2	1.21028543693529e-06	0.996
Astle_et_al_2016_Neutrophil_count	ENSG00000160588.9	MPZL3	1.24405392494689e-06	0.793
Astle_et_al_2016_Neutrophil_count	ENSG00000101246.19	ARFRP1	1.30542298894247e-06	0.634
Astle_et_al_2016_Neutrophil_count	ENSG00000229116.2	RP11-20J15.3	1.37498214637365e-06	0.782
Astle_et_al_2016_Neutrophil_count	ENSG00000141639.11	MAPK4	1.42353421219723e-06	0.901
Astle_et_al_2016_Neutrophil_count	ENSG00000023892.10	DEF6	1.4360540850006e-06	0.726
Astle_et_al_2016_Neutrophil_count	ENSG00000253669.3	KB-1732A1.1	1.61725240113759e-06	0.579
Astle_et_al_2016_Neutrophil_count	ENSG00000166272.16	WBP1L	1.71004487568198e-06	0.915
Astle_et_al_2016_Neutrophil_count	ENSG00000272902.2	TBC1D8-AS1	2.10162249472484e-06	0.538
Astle_et_al_2016_Neutrophil_count	ENSG00000160593.18	JAML	2.17567007711706e-06	0.765
Astle_et_al_2016_Platelet_count	ENSG00000112339.14	HBS1L	1.04496016526295e-154	0.63
Astle_et_al_2016_Platelet_count	ENSG00000030110.12	BAK1	2.57636701888179e-149	0.965
Astle_et_al_2016_Platelet_count	ENSG00000177963.14	RIC8A	2.91644893904016e-93	0.797
Astle_et_al_2016_Platelet_count	ENSG00000177951.17	BET1L	6.90709638387957e-91	0.736
Astle_et_al_2016_Platelet_count	ENSG00000188076.2	SCGB1C1	5.29848088000123e-87	0.919
Astle_et_al_2016_Platelet_count	ENSG00000090534.17	THPO	1.65645614715401e-76	0.999
Astle_et_al_2016_Platelet_count	ENSG00000170638.9	TRABD	5.65644658534549e-65	1
Astle_et_al_2016_Platelet_count	ENSG00000214711.9	CAPN14	1.63127191498681e-60	0.769
Astle_et_al_2016_Platelet_count	ENSG00000110395.6	CBL	6.85425676920325e-60	0.81
Astle_et_al_2016_Platelet_count	ENSG00000248712.7	CCDC153	1.13118471956447e-52	0.735
Astle_et_al_2016_Platelet_count	ENSG00000283632.2	EXOC3L2	3.83481754516131e-46	0.8
Astle_et_al_2016_Platelet_count	ENSG00000006125.17	AP2B1	1.01257267153891e-44	0.835
Astle_et_al_2016_Platelet_count	ENSG00000169224.12	GCSAML	1.6835758656315e-44	0.93
Astle_et_al_2016_Platelet_count	ENSG00000108733.9	PEX12	1.72198385243381e-41	0.807
Astle_et_al_2016_Platelet_count	ENSG00000076706.16	MCAM	1.39999094982333e-38	0.527
Astle_et_al_2016_Platelet_count	ENSG00000010278.12	CD9	1.70145335596654e-37	0.583
Astle_et_al_2016_Platelet_count	ENSG00000205436.7	EXOC3L4	7.8962953779802e-37	0.932
Astle_et_al_2016_Platelet_count	ENSG00000128159.11	TUBGCP6	2.02899708022807e-35	0.957
Astle_et_al_2016_Platelet_count	ENSG00000184730.10	APOBR	3.95630252562357e-34	0.943
Astle_et_al_2016_Platelet_count	ENSG00000188603.18	CLN3	5.9744953224183e-33	0.997
Astle_et_al_2016_Platelet_count	ENSG00000133069.15	TMCC2	1.02482896438815e-32	0.713
Astle_et_al_2016_Platelet_count	ENSG00000088325.15	TPX2	1.25664157527263e-31	0.841
Astle_et_al_2016_Platelet_count	ENSG00000134508.12	CABLES1	3.52527757993635e-31	0.513
Astle_et_al_2016_Platelet_count	ENSG00000135093.12	USP30	3.50121279087343e-30	0.962
Astle_et_al_2016_Platelet_count	ENSG00000178209.14	PLEC	5.92750205587972e-30	0.885
Astle_et_al_2016_Platelet_count	ENSG00000163545.8	NUAK2	8.21922523297117e-30	0.574
Astle_et_al_2016_Platelet_count	ENSG00000152518.7	ZFP36L2	2.2218802311057e-29	0.891
Astle_et_al_2016_Platelet_count	ENSG00000101166.15	PRELID3B	3.04866900820486e-28	0.521
Astle_et_al_2016_Platelet_count	ENSG00000117616.17	RSRP1	1.32635630936989e-27	0.708
Astle_et_al_2016_Platelet_count	ENSG00000175182.14	FAM131A	3.17792130338587e-26	0.953
Astle_et_al_2016_Platelet_count	ENSG00000176046.8	NUPR1	3.96627068118551e-25	0.573
Astle_et_al_2016_Platelet_count	ENSG00000100266.18	PACSIN2	5.77741624866105e-25	0.525
Astle_et_al_2016_Platelet_count	ENSG00000183726.10	TMEM50A	1.85464655463338e-24	0.725
Astle_et_al_2016_Platelet_count	ENSG00000140416.19	TPM1	3.43186164467655e-24	0.757
Astle_et_al_2016_Platelet_count	ENSG00000231389.7	HLA-DPA1	8.79303859094058e-24	0.548
Astle_et_al_2016_Platelet_count	ENSG00000116688.16	MFN2	5.8128730469069e-23	0.724
Astle_et_al_2016_Platelet_count	ENSG00000146676.8	PURB	7.98862268308224e-23	0.891
Astle_et_al_2016_Platelet_count	ENSG00000149485.18	FADS1	1.58164689332398e-22	0.787
Astle_et_al_2016_Platelet_count	ENSG00000101162.3	TUBB1	5.82085936983533e-22	0.923
Astle_et_al_2016_Platelet_count	ENSG00000134824.13	FADS2	7.81504804541887e-22	0.609
Astle_et_al_2016_Platelet_count	ENSG00000197272.2	IL27	1.80489059902695e-21	0.99
Astle_et_al_2016_Platelet_count	ENSG00000101160.13	CTSZ	4.33824692548384e-21	0.702
Astle_et_al_2016_Platelet_count	ENSG00000005961.17	ITGA2B	5.56074898973551e-21	0.844
Astle_et_al_2016_Platelet_count	ENSG00000223572.9	CKMT1A	1.18256421271154e-20	0.971
Astle_et_al_2016_Platelet_count	ENSG00000073169.13	SELENOO	1.21716941332159e-20	0.982
Astle_et_al_2016_Platelet_count	ENSG00000168496.3	FEN1	6.90710406721279e-20	0.573
Astle_et_al_2016_Platelet_count	ENSG00000007341.18	ST7L	7.86927064553232e-20	0.766
Astle_et_al_2016_Platelet_count	ENSG00000084734.8	GCKR	9.12789622965685e-20	0.649
Astle_et_al_2016_Platelet_count	ENSG00000105968.18	H2AFV	1.14159185309997e-19	0.807
Astle_et_al_2016_Platelet_count	ENSG00000134825.15	TMEM258	1.17184419809288e-19	0.599
Astle_et_al_2016_Platelet_count	ENSG00000161682.14	FAM171A2	1.78939120262021e-19	0.792
Astle_et_al_2016_Platelet_count	ENSG00000174567.7	GOLT1A	5.98969328921444e-19	0.624
Astle_et_al_2016_Platelet_count	ENSG00000105726.16	ATP13A1	8.29139568203804e-19	1
Astle_et_al_2016_Platelet_count	ENSG00000155363.18	MOV10	1.18266234312926e-18	0.618
Astle_et_al_2016_Platelet_count	ENSG00000185245.7	GP1BA	2.42912433776752e-18	0.939
Astle_et_al_2016_Platelet_count	ENSG00000166762.16	CATSPER2	4.43606510309146e-18	0.555
Astle_et_al_2016_Platelet_count	ENSG00000116489.12	CAPZA1	5.13692183572834e-18	0.736
Astle_et_al_2016_Platelet_count	ENSG00000267321.2	LINC02001	9.23586206511569e-18	0.547
Astle_et_al_2016_Platelet_count	ENSG00000139835.13	GRTP1	1.01279597623321e-17	0.975
Astle_et_al_2016_Platelet_count	ENSG00000083444.16	PLOD1	5.45201482382152e-17	0.784
Astle_et_al_2016_Platelet_count	ENSG00000144118.13	RALB	6.19943778810927e-17	0.554
Astle_et_al_2016_Platelet_count	ENSG00000156381.8	ANKRD9	6.91428751829958e-17	0.955
Astle_et_al_2016_Platelet_count	ENSG00000197375.12	SLC22A5	1.36712738617565e-16	0.688
Astle_et_al_2016_Platelet_count	ENSG00000167460.14	TPM4	1.40045513339662e-16	0.968
Astle_et_al_2016_Platelet_count	ENSG00000134245.17	WNT2B	2.46473267403879e-16	0.578
Astle_et_al_2016_Platelet_count	ENSG00000138002.14	IFT172	3.37138062208525e-16	0.648
Astle_et_al_2016_Platelet_count	ENSG00000030582.17	GRN	7.08516281890466e-16	0.65
Astle_et_al_2016_Platelet_count	ENSG00000279873.2	LINC01126	7.22721760703191e-16	0.658
Astle_et_al_2016_Platelet_count	ENSG00000197208.5	SLC22A4	2.02082571238574e-15	0.729
Astle_et_al_2016_Platelet_count	ENSG00000171552.12	BCL2L1	2.46269491750423e-15	0.511
Astle_et_al_2016_Platelet_count	ENSG00000204178.9	TMEM57	2.6591273837542e-15	0.879
Astle_et_al_2016_Platelet_count	ENSG00000061273.17	HDAC7	2.68248190070163e-15	0.967
Astle_et_al_2016_Platelet_count	ENSG00000271590.1	RP11-181E10.3	2.85202584324121e-15	0.994
Astle_et_al_2016_Platelet_count	ENSG00000131507.10	NDFIP1	6.41935334864138e-15	0.57
Astle_et_al_2016_Platelet_count	ENSG00000108556.7	CHRNE	1.18418746241497e-14	0.823
Astle_et_al_2016_Platelet_count	ENSG00000164362.18	TERT	1.92902932917897e-14	0.57
Astle_et_al_2016_Platelet_count	ENSG00000078487.17	ZCWPW1	2.72759134410568e-14	0.557
Astle_et_al_2016_Platelet_count	ENSG00000108515.17	ENO3	3.27829479325797e-14	0.56
Astle_et_al_2016_Platelet_count	ENSG00000230499.1	AC108463.1	3.34538301187188e-14	0.986
Astle_et_al_2016_Platelet_count	ENSG00000181104.6	F2R	5.28555025029396e-14	0.924
Astle_et_al_2016_Platelet_count	ENSG00000166839.16	ANKDD1A	5.40802797403883e-14	0.871
Astle_et_al_2016_Platelet_count	ENSG00000140451.12	PIF1	6.7833871798047e-14	0.564
Astle_et_al_2016_Platelet_count	ENSG00000146834.13	MEPCE	7.45646108711546e-14	0.559
Astle_et_al_2016_Platelet_count	ENSG00000185955.4	C7orf61	7.82744830445305e-14	0.561
Astle_et_al_2016_Platelet_count	ENSG00000138798.11	EGF	1.38446194746056e-13	0.53
Astle_et_al_2016_Platelet_count	ENSG00000172803.17	SNX32	1.39711267988111e-13	0.635
Astle_et_al_2016_Platelet_count	ENSG00000197136.4	PCNX3	1.4228678342688e-13	0.646
Astle_et_al_2016_Platelet_count	ENSG00000166452.11	AKIP1	1.43575864715223e-13	0.617
Astle_et_al_2016_Platelet_count	ENSG00000146535.13	GNA12	2.77754261403591e-13	0.952
Astle_et_al_2016_Platelet_count	ENSG00000186090.10	HTR3D	3.45600094351994e-13	0.754
Astle_et_al_2016_Platelet_count	ENSG00000114770.16	ABCC5	3.79174820952082e-13	0.676
Astle_et_al_2016_Platelet_count	ENSG00000167642.12	SPINT2	4.58951836996618e-13	0.653
Astle_et_al_2016_Platelet_count	ENSG00000213445.9	SIPA1	5.08479981239769e-13	0.613
Astle_et_al_2016_Platelet_count	ENSG00000108528.13	SLC25A11	5.22403253937361e-13	0.92
Astle_et_al_2016_Platelet_count	ENSG00000243955.5	GSTA1	5.7165238448517e-13	0.524
Astle_et_al_2016_Platelet_count	ENSG00000010704.18	HFE	5.99139882659778e-13	0.948
Astle_et_al_2016_Platelet_count	ENSG00000165915.13	SLC39A13	1.08539153043051e-12	0.529
Astle_et_al_2016_Platelet_count	ENSG00000204305.13	AGER	1.42232765650269e-12	0.582
Astle_et_al_2016_Platelet_count	ENSG00000198898.13	CAPZA2	1.45260014529159e-12	0.659
Astle_et_al_2016_Platelet_count	ENSG00000224959.1	AC017002.2	1.89810270518629e-12	0.778
Astle_et_al_2016_Platelet_count	ENSG00000257365.7	FNTB	1.9920869646031e-12	0.794
Astle_et_al_2016_Platelet_count	ENSG00000182093.14	WRB	2.66506310404025e-12	0.522
Astle_et_al_2016_Platelet_count	ENSG00000106330.11	MOSPD3	3.26799783943619e-12	0.929
Astle_et_al_2016_Platelet_count	ENSG00000172922.8	RNASEH2C	4.27993865320077e-12	0.768
Astle_et_al_2016_Platelet_count	ENSG00000272236.1	XXbac-BPG170G13.32	4.70976786605089e-12	0.977
Astle_et_al_2016_Platelet_count	ENSG00000256433.2	RP1-102E24.8	5.99489367645789e-12	0.957
Astle_et_al_2016_Platelet_count	ENSG00000106327.12	TFR2	6.43381222173694e-12	0.876
Astle_et_al_2016_Platelet_count	ENSG00000172977.12	KAT5	8.34757161826308e-12	0.76
Astle_et_al_2016_Platelet_count	ENSG00000185024.16	BRF1	9.8484901406678e-12	0.573
Astle_et_al_2016_Platelet_count	ENSG00000089639.10	GMIP	1.00299841444883e-11	0.825
Astle_et_al_2016_Platelet_count	ENSG00000184887.13	BTBD6	1.05863399012564e-11	0.563
Astle_et_al_2016_Platelet_count	ENSG00000090565.15	RAB11FIP3	1.56576833525004e-11	0.75
Astle_et_al_2016_Platelet_count	ENSG00000163602.10	RYBP	2.28419832560221e-11	0.96
Astle_et_al_2016_Platelet_count	ENSG00000169184.5	MN1	2.58328322480876e-11	0.995
Astle_et_al_2016_Platelet_count	ENSG00000130956.13	HABP4	4.0684110260575e-11	0.72
Astle_et_al_2016_Platelet_count	ENSG00000087589.16	CASS4	4.1654606353235e-11	0.931
Astle_et_al_2016_Platelet_count	ENSG00000164142.15	FAM160A1	4.78343623601302e-11	0.586
Astle_et_al_2016_Platelet_count	ENSG00000065491.8	TBC1D22B	6.04782704896565e-11	0.735
Astle_et_al_2016_Platelet_count	ENSG00000179364.13	PACS2	6.87301629376754e-11	0.501
Astle_et_al_2016_Platelet_count	ENSG00000172738.11	TMEM217	9.9405966315608e-11	0.793
Astle_et_al_2016_Platelet_count	ENSG00000168297.15	PXK	1.28768490785019e-10	0.521
Astle_et_al_2016_Platelet_count	ENSG00000172965.14	MIR4435-2HG	1.37023249376876e-10	0.987
Astle_et_al_2016_Platelet_count	ENSG00000111321.10	LTBR	1.97375114379051e-10	0.908
Astle_et_al_2016_Platelet_count	ENSG00000100344.10	PNPLA3	3.08995606317791e-10	0.872
Astle_et_al_2016_Platelet_count	ENSG00000184371.13	CSF1	4.90632711085807e-10	0.997
Astle_et_al_2016_Platelet_count	ENSG00000066084.12	DIP2B	5.57256297298028e-10	0.638
Astle_et_al_2016_Platelet_count	ENSG00000090539.15	CHRD	6.05693535916172e-10	0.922
Astle_et_al_2016_Platelet_count	ENSG00000276234.4	TADA2A	6.53012446072831e-10	0.588
Astle_et_al_2016_Platelet_count	ENSG00000166965.12	RCCD1	6.84381097545395e-10	0.842
Astle_et_al_2016_Platelet_count	ENSG00000163684.11	RPP14	7.67108416588116e-10	0.602
Astle_et_al_2016_Platelet_count	ENSG00000187045.16	TMPRSS6	1.01354023174206e-09	0.956
Astle_et_al_2016_Platelet_count	ENSG00000144504.15	ANKMY1	1.1968481605101e-09	0.542
Astle_et_al_2016_Platelet_count	ENSG00000154511.11	FAM69A	1.25355317786458e-09	0.952
Astle_et_al_2016_Platelet_count	ENSG00000168389.17	MFSD2A	1.28109503908537e-09	0.785
Astle_et_al_2016_Platelet_count	ENSG00000116604.17	MEF2D	1.79703353359511e-09	0.681
Astle_et_al_2016_Platelet_count	ENSG00000183508.4	FAM46C	1.89514669899072e-09	0.813
Astle_et_al_2016_Platelet_count	ENSG00000179912.20	R3HDM2	2.03331941493367e-09	0.991
Astle_et_al_2016_Platelet_count	ENSG00000164393.8	ADGRF2	2.2501488206829e-09	0.726
Astle_et_al_2016_Platelet_count	ENSG00000145850.8	TIMD4	3.24931273097365e-09	0.572
Astle_et_al_2016_Platelet_count	ENSG00000084093.16	REST	3.93574843666704e-09	0.791
Astle_et_al_2016_Platelet_count	ENSG00000124380.10	SNRNP27	4.30939325797956e-09	0.559
Astle_et_al_2016_Platelet_count	ENSG00000109917.10	ZPR1	6.29122233533733e-09	0.54
Astle_et_al_2016_Platelet_count	ENSG00000103966.10	EHD4	8.11548581871012e-09	0.738
Astle_et_al_2016_Platelet_count	ENSG00000172543.7	CTSW	9.3387723156631e-09	0.618
Astle_et_al_2016_Platelet_count	ENSG00000269473.1	CTD-2619J13.19	1.11040983307091e-08	0.769
Astle_et_al_2016_Platelet_count	ENSG00000270091.1	RP11-78O7.2	1.18928542176037e-08	0.73
Astle_et_al_2016_Platelet_count	ENSG00000263627.1	PPP4R1-AS1	1.21468699205021e-08	0.847
Astle_et_al_2016_Platelet_count	ENSG00000141524.15	TMC6	1.2888553892746e-08	0.944
Astle_et_al_2016_Platelet_count	ENSG00000099889.13	ARVCF	1.46351591314738e-08	0.83
Astle_et_al_2016_Platelet_count	ENSG00000064012.21	CASP8	1.51335526245352e-08	0.833
Astle_et_al_2016_Platelet_count	ENSG00000172667.10	ZMAT3	1.52351866151695e-08	0.507
Astle_et_al_2016_Platelet_count	ENSG00000163219.11	ARHGAP25	1.67152909618947e-08	0.999
Astle_et_al_2016_Platelet_count	ENSG00000142657.20	PGD	1.75979204836287e-08	0.611
Astle_et_al_2016_Platelet_count	ENSG00000105383.14	CD33	1.93972667433186e-08	0.88
Astle_et_al_2016_Platelet_count	ENSG00000276023.4	DUSP14	1.96588232363961e-08	0.608
Astle_et_al_2016_Platelet_count	ENSG00000132256.18	TRIM5	2.18580727014048e-08	0.978
Astle_et_al_2016_Platelet_count	ENSG00000278540.4	ACACA	2.54597817775554e-08	0.515
Astle_et_al_2016_Platelet_count	ENSG00000106333.12	PCOLCE	3.00668778162084e-08	0.552
Astle_et_al_2016_Platelet_count	ENSG00000108599.14	AKAP10	3.32857942602362e-08	0.706
Astle_et_al_2016_Platelet_count	ENSG00000170509.11	HSD17B13	3.45327901608554e-08	0.876
Astle_et_al_2016_Platelet_count	ENSG00000268912.1	CTD-2619J13.17	4.32043273632462e-08	0.698
Astle_et_al_2016_Platelet_count	ENSG00000099256.18	PRTFDC1	4.33298074478865e-08	0.841
Astle_et_al_2016_Platelet_count	ENSG00000171574.17	ZNF584	4.34956891769726e-08	0.717
Astle_et_al_2016_Platelet_count	ENSG00000117399.13	CDC20	4.41135189518053e-08	0.71
Astle_et_al_2016_Platelet_count	ENSG00000131849.11	ZNF132	4.46010463107346e-08	0.8
Astle_et_al_2016_Platelet_count	ENSG00000213347.10	MXD3	5.15481784273372e-08	0.741
Astle_et_al_2016_Platelet_count	ENSG00000129990.14	SYT5	7.18136623061217e-08	0.936
Astle_et_al_2016_Platelet_count	ENSG00000067182.7	TNFRSF1A	7.44615991172899e-08	0.581
Astle_et_al_2016_Platelet_count	ENSG00000099331.13	MYO9B	7.52069923810573e-08	0.643
Astle_et_al_2016_Platelet_count	ENSG00000140403.12	DNAJA4	8.03979117327611e-08	0.638
Astle_et_al_2016_Platelet_count	ENSG00000111087.9	GLI1	8.27437105286954e-08	0.681
Astle_et_al_2016_Platelet_count	ENSG00000119596.17	YLPM1	8.45339861869924e-08	0.628
Astle_et_al_2016_Platelet_count	ENSG00000271874.1	CTD-2024P10.2	8.6436647392186e-08	0.904
Astle_et_al_2016_Platelet_count	ENSG00000184702.17	SEPT5	1.03381957620189e-07	0.502
